Parameters: 
   graphfile = /var/tmp/dgleich/data/uk-2007-05-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 105896555
edges = -556233648
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.372126e+00 ; dt =    74.1
 iogs (outer) : iter =      1 ; odelta = 3.233951e-01 ; dt =   450.0 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.016377e-01 ; dt =   750.1 ; nmult =        10
 iogs (outer) : iter =      3 ; odelta = 5.165859e-02 ; dt =  1051.2 ; nmult =        14
 iogs (outer) : iter =      4 ; odelta = 3.553289e-02 ; dt =  1356.1 ; nmult =        18
 iogs (outer) : iter =      5 ; odelta = 2.768575e-02 ; dt =  1657.6 ; nmult =        22
 iogs (outer) : iter =      6 ; odelta = 2.279923e-02 ; dt =  1957.9 ; nmult =        26
 iogs (outer) : iter =      7 ; odelta = 1.956650e-02 ; dt =  2182.9 ; nmult =        29
 iogs (outer) : iter =      8 ; odelta = 1.712007e-02 ; dt =  2407.8 ; nmult =        32
 iogs (outer) : iter =      9 ; odelta = 1.518777e-02 ; dt =  2632.9 ; nmult =        35
 iogs (outer) : iter =     10 ; odelta = 1.361657e-02 ; dt =  2857.9 ; nmult =        38
 iogs (outer) : iter =     11 ; odelta = 1.231441e-02 ; dt =  3086.0 ; nmult =        41
 iogs (outer) : iter =     12 ; odelta = 1.121734e-02 ; dt =  3312.5 ; nmult =        44
 iogs (outer) : iter =     13 ; odelta = 1.027849e-02 ; dt =  3537.4 ; nmult =        47
 iogs (outer) : iter =     14 ; odelta = 9.466533e-03 ; dt =  3762.2 ; nmult =        50
 iogs (   gs) : iter =    100 ; delta = 9.466533e-03 ; diff = 4.795923e-04 ; dt = 10243.1 sec ; nmult =    136
 iogs (   gs) : iter =    101 ; delta = 9.466533e-03 ; diff = 4.653089e-04 ; dt = 10319.3 sec ; nmult =    137
 iogs (   gs) : iter =    102 ; delta = 9.466533e-03 ; diff = 4.513573e-04 ; dt = 10395.6 sec ; nmult =    138
 iogs (   gs) : iter =    103 ; delta = 9.466533e-03 ; diff = 4.380016e-04 ; dt = 10470.7 sec ; nmult =    139
 iogs (   gs) : iter =    104 ; delta = 9.466533e-03 ; diff = 4.249385e-04 ; dt = 10545.9 sec ; nmult =    140
 iogs (   gs) : iter =    105 ; delta = 9.466533e-03 ; diff = 4.124370e-04 ; dt = 10621.0 sec ; nmult =    141
 iogs (   gs) : iter =    106 ; delta = 9.466533e-03 ; diff = 4.001999e-04 ; dt = 10696.2 sec ; nmult =    142
 iogs (   gs) : iter =    107 ; delta = 9.466533e-03 ; diff = 3.884945e-04 ; dt = 10771.3 sec ; nmult =    143
 iogs (   gs) : iter =    108 ; delta = 9.466533e-03 ; diff = 3.770371e-04 ; dt = 10846.4 sec ; nmult =    144
 iogs (   gs) : iter =    109 ; delta = 9.466533e-03 ; diff = 3.660629e-04 ; dt = 10921.5 sec ; nmult =    145
 iogs (   gs) : iter =    110 ; delta = 9.466533e-03 ; diff = 3.553212e-04 ; dt = 10996.8 sec ; nmult =    146
 iogs (   gs) : iter =    111 ; delta = 9.466533e-03 ; diff = 3.450431e-04 ; dt = 11071.9 sec ; nmult =    147
 iogs (   gs) : iter =    112 ; delta = 9.466533e-03 ; diff = 3.349572e-04 ; dt = 11147.1 sec ; nmult =    148
 iogs (   gs) : iter =    113 ; delta = 9.466533e-03 ; diff = 3.253153e-04 ; dt = 11222.2 sec ; nmult =    149
 iogs (   gs) : iter =    114 ; delta = 9.466533e-03 ; diff = 3.158595e-04 ; dt = 11297.3 sec ; nmult =    150
 iogs (   gs) : iter =    115 ; delta = 9.466533e-03 ; diff = 3.068153e-04 ; dt = 11372.5 sec ; nmult =    151
 iogs (   gs) : iter =    116 ; delta = 9.466533e-03 ; diff = 2.979412e-04 ; dt = 11447.7 sec ; nmult =    152
 iogs (   gs) : iter =    117 ; delta = 9.466533e-03 ; diff = 2.894595e-04 ; dt = 11522.8 sec ; nmult =    153
 iogs (   gs) : iter =    118 ; delta = 9.466533e-03 ; diff = 2.811269e-04 ; dt = 11598.0 sec ; nmult =    154
 iogs (   gs) : iter =    119 ; delta = 9.466533e-03 ; diff = 2.731653e-04 ; dt = 11673.2 sec ; nmult =    155
 iogs (   gs) : iter =    120 ; delta = 9.466533e-03 ; diff = 2.653404e-04 ; dt = 11748.3 sec ; nmult =    156
 iogs (   gs) : iter =    121 ; delta = 9.466533e-03 ; diff = 2.578594e-04 ; dt = 11823.4 sec ; nmult =    157
 iogs (   gs) : iter =    122 ; delta = 9.466533e-03 ; diff = 2.505090e-04 ; dt = 11899.7 sec ; nmult =    158
 iogs (   gs) : iter =    123 ; delta = 9.466533e-03 ; diff = 2.434869e-04 ; dt = 11977.2 sec ; nmult =    159
 iogs (   gs) : iter =    124 ; delta = 9.466533e-03 ; diff = 2.365827e-04 ; dt = 12053.4 sec ; nmult =    160
 iogs (   gs) : iter =    125 ; delta = 9.466533e-03 ; diff = 2.299900e-04 ; dt = 12129.6 sec ; nmult =    161
 iogs (   gs) : iter =    126 ; delta = 9.466533e-03 ; diff = 2.235097e-04 ; dt = 12205.7 sec ; nmult =    162
 iogs (   gs) : iter =    127 ; delta = 9.466533e-03 ; diff = 2.173160e-04 ; dt = 12280.9 sec ; nmult =    163
 iogs (   gs) : iter =    128 ; delta = 9.466533e-03 ; diff = 2.112183e-04 ; dt = 12356.0 sec ; nmult =    164
 iogs (   gs) : iter =    129 ; delta = 9.466533e-03 ; diff = 2.053996e-04 ; dt = 12431.1 sec ; nmult =    165
 iogs (   gs) : iter =    130 ; delta = 9.466533e-03 ; diff = 1.996653e-04 ; dt = 12506.3 sec ; nmult =    166
 iogs (   gs) : iter =    131 ; delta = 9.466533e-03 ; diff = 1.941906e-04 ; dt = 12581.5 sec ; nmult =    167
 iogs (   gs) : iter =    132 ; delta = 9.466533e-03 ; diff = 1.887920e-04 ; dt = 12656.6 sec ; nmult =    168
 iogs (   gs) : iter =    133 ; delta = 9.466533e-03 ; diff = 1.836364e-04 ; dt = 12731.7 sec ; nmult =    169
 iogs (   gs) : iter =    134 ; delta = 9.466533e-03 ; diff = 1.785505e-04 ; dt = 12807.0 sec ; nmult =    170
 iogs (   gs) : iter =    135 ; delta = 9.466533e-03 ; diff = 1.737018e-04 ; dt = 12882.1 sec ; nmult =    171
 iogs (   gs) : iter =    136 ; delta = 9.466533e-03 ; diff = 1.689070e-04 ; dt = 12957.2 sec ; nmult =    172
 iogs (   gs) : iter =    137 ; delta = 9.466533e-03 ; diff = 1.643362e-04 ; dt = 13032.4 sec ; nmult =    173
 iogs (   gs) : iter =    138 ; delta = 9.466533e-03 ; diff = 1.598188e-04 ; dt = 13107.5 sec ; nmult =    174
 iogs (   gs) : iter =    139 ; delta = 9.466533e-03 ; diff = 1.555081e-04 ; dt = 13182.6 sec ; nmult =    175
 iogs (   gs) : iter =    140 ; delta = 9.466533e-03 ; diff = 1.512460e-04 ; dt = 13257.7 sec ; nmult =    176
 iogs (   gs) : iter =    141 ; delta = 9.466533e-03 ; diff = 1.471824e-04 ; dt = 13332.9 sec ; nmult =    177
 iogs (   gs) : iter =    142 ; delta = 9.466533e-03 ; diff = 1.431615e-04 ; dt = 13408.1 sec ; nmult =    178
 iogs (   gs) : iter =    143 ; delta = 9.466533e-03 ; diff = 1.393301e-04 ; dt = 13483.3 sec ; nmult =    179
 iogs (   gs) : iter =    144 ; delta = 9.466533e-03 ; diff = 1.355360e-04 ; dt = 13558.4 sec ; nmult =    180
 iogs (   gs) : iter =    145 ; delta = 9.466533e-03 ; diff = 1.319190e-04 ; dt = 13633.5 sec ; nmult =    181
 iogs (   gs) : iter =    146 ; delta = 9.466533e-03 ; diff = 1.283374e-04 ; dt = 13709.2 sec ; nmult =    182
 iogs (   gs) : iter =    147 ; delta = 9.466533e-03 ; diff = 1.249258e-04 ; dt = 13785.4 sec ; nmult =    183
 iogs (   gs) : iter =    148 ; delta = 9.466533e-03 ; diff = 1.215416e-04 ; dt = 13861.5 sec ; nmult =    184
 iogs (   gs) : iter =    149 ; delta = 9.466533e-03 ; diff = 1.183194e-04 ; dt = 13937.6 sec ; nmult =    185
 iogs (   gs) : iter =    150 ; delta = 9.466533e-03 ; diff = 1.151238e-04 ; dt = 14013.6 sec ; nmult =    186
 iogs (   gs) : iter =    151 ; delta = 9.466533e-03 ; diff = 1.120821e-04 ; dt = 14088.7 sec ; nmult =    187
 iogs (   gs) : iter =    152 ; delta = 9.466533e-03 ; diff = 1.090604e-04 ; dt = 14163.7 sec ; nmult =    188
 iogs (   gs) : iter =    153 ; delta = 9.466533e-03 ; diff = 1.061878e-04 ; dt = 14238.9 sec ; nmult =    189
 iogs (   gs) : iter =    154 ; delta = 9.466533e-03 ; diff = 1.033318e-04 ; dt = 14314.0 sec ; nmult =    190
 iogs (   gs) : iter =    155 ; delta = 9.466533e-03 ; diff = 1.006184e-04 ; dt = 14389.0 sec ; nmult =    191
 iogs (   gs) : iter =    156 ; delta = 9.466533e-03 ; diff = 9.792168e-05 ; dt = 14464.1 sec ; nmult =    192
 iogs (   gs) : iter =    157 ; delta = 9.466533e-03 ; diff = 9.535667e-05 ; dt = 14539.2 sec ; nmult =    193
 iogs (   gs) : iter =    158 ; delta = 9.466533e-03 ; diff = 9.280660e-05 ; dt = 14614.4 sec ; nmult =    194
 iogs (   gs) : iter =    159 ; delta = 9.466533e-03 ; diff = 9.038443e-05 ; dt = 14689.5 sec ; nmult =    195
 iogs (   gs) : iter =    160 ; delta = 9.466533e-03 ; diff = 8.797270e-05 ; dt = 14764.6 sec ; nmult =    196
 iogs (   gs) : iter =    161 ; delta = 9.466533e-03 ; diff = 8.568154e-05 ; dt = 14839.6 sec ; nmult =    197
 iogs (   gs) : iter =    162 ; delta = 9.466533e-03 ; diff = 8.340170e-05 ; dt = 14915.4 sec ; nmult =    198
 iogs (   gs) : iter =    163 ; delta = 9.466533e-03 ; diff = 8.123537e-05 ; dt = 14991.8 sec ; nmult =    199
 iogs (   gs) : iter =    164 ; delta = 9.466533e-03 ; diff = 7.907803e-05 ; dt = 15068.2 sec ; nmult =    200
 iogs (   gs) : iter =    165 ; delta = 9.466533e-03 ; diff = 7.703116e-05 ; dt = 15143.3 sec ; nmult =    201
 iogs (   gs) : iter =    166 ; delta = 9.466533e-03 ; diff = 7.498860e-05 ; dt = 15218.6 sec ; nmult =    202
 iogs (   gs) : iter =    167 ; delta = 9.466533e-03 ; diff = 7.305267e-05 ; dt = 15293.7 sec ; nmult =    203
 iogs (   gs) : iter =    168 ; delta = 9.466533e-03 ; diff = 7.111949e-05 ; dt = 15368.8 sec ; nmult =    204
 iogs (   gs) : iter =    169 ; delta = 9.466533e-03 ; diff = 6.928791e-05 ; dt = 15444.0 sec ; nmult =    205
 iogs (   gs) : iter =    170 ; delta = 9.466533e-03 ; diff = 6.745786e-05 ; dt = 15519.9 sec ; nmult =    206
 iogs (   gs) : iter =    171 ; delta = 9.466533e-03 ; diff = 6.572556e-05 ; dt = 15596.1 sec ; nmult =    207
 iogs (   gs) : iter =    172 ; delta = 9.466533e-03 ; diff = 6.399276e-05 ; dt = 15672.9 sec ; nmult =    208
 iogs (   gs) : iter =    173 ; delta = 9.466533e-03 ; diff = 6.235357e-05 ; dt = 15749.1 sec ; nmult =    209
 iogs (   gs) : iter =    174 ; delta = 9.466533e-03 ; diff = 6.071549e-05 ; dt = 15825.1 sec ; nmult =    210
 iogs (   gs) : iter =    175 ; delta = 9.466533e-03 ; diff = 5.916606e-05 ; dt = 15900.2 sec ; nmult =    211
 iogs (   gs) : iter =    176 ; delta = 9.466533e-03 ; diff = 5.761469e-05 ; dt = 15975.3 sec ; nmult =    212
 iogs (   gs) : iter =    177 ; delta = 9.466533e-03 ; diff = 5.614787e-05 ; dt = 16050.4 sec ; nmult =    213
 iogs (   gs) : iter =    178 ; delta = 9.466533e-03 ; diff = 5.467901e-05 ; dt = 16125.6 sec ; nmult =    214
 iogs (   gs) : iter =    179 ; delta = 9.466533e-03 ; diff = 5.329025e-05 ; dt = 16200.7 sec ; nmult =    215
 iogs (   gs) : iter =    180 ; delta = 9.466533e-03 ; diff = 5.189965e-05 ; dt = 16275.9 sec ; nmult =    216
 iogs (   gs) : iter =    181 ; delta = 9.466533e-03 ; diff = 5.058555e-05 ; dt = 16351.0 sec ; nmult =    217
 iogs (   gs) : iter =    182 ; delta = 9.466533e-03 ; diff = 4.926882e-05 ; dt = 16426.9 sec ; nmult =    218
 iogs (   gs) : iter =    183 ; delta = 9.466533e-03 ; diff = 4.802671e-05 ; dt = 16502.1 sec ; nmult =    219
 iogs (   gs) : iter =    184 ; delta = 9.466533e-03 ; diff = 4.677846e-05 ; dt = 16577.2 sec ; nmult =    220
 iogs (   gs) : iter =    185 ; delta = 9.466533e-03 ; diff = 4.560206e-05 ; dt = 16652.5 sec ; nmult =    221
 iogs (   gs) : iter =    186 ; delta = 9.466533e-03 ; diff = 4.442009e-05 ; dt = 16727.6 sec ; nmult =    222
 iogs (   gs) : iter =    187 ; delta = 9.466533e-03 ; diff = 4.330549e-05 ; dt = 16802.8 sec ; nmult =    223
 iogs (   gs) : iter =    188 ; delta = 9.466533e-03 ; diff = 4.218443e-05 ; dt = 16878.0 sec ; nmult =    224
 iogs (   gs) : iter =    189 ; delta = 9.466533e-03 ; diff = 4.112875e-05 ; dt = 16953.1 sec ; nmult =    225
 iogs (   gs) : iter =    190 ; delta = 9.466533e-03 ; diff = 4.006590e-05 ; dt = 17029.1 sec ; nmult =    226
 iogs (   gs) : iter =    191 ; delta = 9.466533e-03 ; diff = 3.906625e-05 ; dt = 17104.3 sec ; nmult =    227
 iogs (   gs) : iter =    192 ; delta = 9.466533e-03 ; diff = 3.805972e-05 ; dt = 17179.4 sec ; nmult =    228
 iogs (   gs) : iter =    193 ; delta = 9.466533e-03 ; diff = 3.711190e-05 ; dt = 17254.5 sec ; nmult =    229
 iogs (   gs) : iter =    194 ; delta = 9.466533e-03 ; diff = 3.615762e-05 ; dt = 17330.5 sec ; nmult =    230
 iogs (   gs) : iter =    195 ; delta = 9.466533e-03 ; diff = 3.526041e-05 ; dt = 17406.7 sec ; nmult =    231
 iogs (   gs) : iter =    196 ; delta = 9.466533e-03 ; diff = 3.435537e-05 ; dt = 17482.8 sec ; nmult =    232
 iogs (   gs) : iter =    197 ; delta = 9.466533e-03 ; diff = 3.350480e-05 ; dt = 17559.0 sec ; nmult =    233
 iogs (   gs) : iter =    198 ; delta = 9.466533e-03 ; diff = 3.264676e-05 ; dt = 17634.8 sec ; nmult =    234
 iogs (   gs) : iter =    199 ; delta = 9.466533e-03 ; diff = 3.184097e-05 ; dt = 17709.9 sec ; nmult =    235
