Parameters: 
   graphfile = /var/tmp/dgleich/data/arabic-2005-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 22744080
edges = 639999458
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.248935e+00 ; dt =    14.0
 iogs (outer) : iter =      1 ; odelta = 2.979781e-01 ; dt =    84.8 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.042371e-01 ; dt =   140.7 ; nmult =        10
 iogs (outer) : iter =      3 ; odelta = 5.819490e-02 ; dt =   196.4 ; nmult =        14
 iogs (outer) : iter =      4 ; odelta = 4.182776e-02 ; dt =   251.8 ; nmult =        18
 iogs (outer) : iter =      5 ; odelta = 3.308848e-02 ; dt =   307.9 ; nmult =        22
 iogs (outer) : iter =      6 ; odelta = 2.744431e-02 ; dt =   363.6 ; nmult =        26
 iogs (outer) : iter =      7 ; odelta = 2.343006e-02 ; dt =   419.3 ; nmult =        30
 iogs (outer) : iter =      8 ; odelta = 2.054682e-02 ; dt =   461.0 ; nmult =        33
 iogs (outer) : iter =      9 ; odelta = 1.827283e-02 ; dt =   502.9 ; nmult =        36
 iogs (outer) : iter =     10 ; odelta = 1.642257e-02 ; dt =   545.2 ; nmult =        39
 iogs (outer) : iter =     11 ; odelta = 1.488765e-02 ; dt =   587.4 ; nmult =        42
 iogs (outer) : iter =     12 ; odelta = 1.358659e-02 ; dt =   629.2 ; nmult =        45
 iogs (outer) : iter =     13 ; odelta = 1.246495e-02 ; dt =   671.1 ; nmult =        48
 iogs (outer) : iter =     14 ; odelta = 1.148668e-02 ; dt =   713.0 ; nmult =        51
 iogs (outer) : iter =     15 ; odelta = 1.062674e-02 ; dt =   754.9 ; nmult =        54
 iogs (outer) : iter =     16 ; odelta = 9.865139e-03 ; dt =   796.7 ; nmult =        57
 iogs (   gs) : iter =     31 ; delta = 9.865139e-03 ; diff = 8.311883e-03 ; dt =  1006.6 sec ; nmult =     72
 iogs (   gs) : iter =     32 ; delta = 9.865139e-03 ; diff = 7.860055e-03 ; dt =  1020.6 sec ; nmult =     73
 iogs (   gs) : iter =     33 ; delta = 9.865139e-03 ; diff = 7.442488e-03 ; dt =  1034.5 sec ; nmult =     74
 iogs (   gs) : iter =     34 ; delta = 9.865139e-03 ; diff = 7.054102e-03 ; dt =  1048.4 sec ; nmult =     75
 iogs (   gs) : iter =     35 ; delta = 9.865139e-03 ; diff = 6.694018e-03 ; dt =  1062.4 sec ; nmult =     76
 iogs (   gs) : iter =     36 ; delta = 9.865139e-03 ; diff = 6.355782e-03 ; dt =  1076.4 sec ; nmult =     77
 iogs (   gs) : iter =     37 ; delta = 9.865139e-03 ; diff = 6.041089e-03 ; dt =  1090.4 sec ; nmult =     78
 iogs (   gs) : iter =     38 ; delta = 9.865139e-03 ; diff = 5.745673e-03 ; dt =  1104.4 sec ; nmult =     79
 iogs (   gs) : iter =     39 ; delta = 9.865139e-03 ; diff = 5.470274e-03 ; dt =  1118.3 sec ; nmult =     80
 iogs (   gs) : iter =     40 ; delta = 9.865139e-03 ; diff = 5.211504e-03 ; dt =  1132.5 sec ; nmult =     81
 iogs (   gs) : iter =     41 ; delta = 9.865139e-03 ; diff = 4.969924e-03 ; dt =  1146.4 sec ; nmult =     82
 iogs (   gs) : iter =     42 ; delta = 9.865139e-03 ; diff = 4.740771e-03 ; dt =  1160.3 sec ; nmult =     83
 iogs (   gs) : iter =     43 ; delta = 9.865139e-03 ; diff = 4.525839e-03 ; dt =  1174.2 sec ; nmult =     84
 iogs (   gs) : iter =     44 ; delta = 9.865139e-03 ; diff = 4.321886e-03 ; dt =  1188.0 sec ; nmult =     85
 iogs (   gs) : iter =     45 ; delta = 9.865139e-03 ; diff = 4.130117e-03 ; dt =  1202.1 sec ; nmult =     86
 iogs (   gs) : iter =     46 ; delta = 9.865139e-03 ; diff = 3.948141e-03 ; dt =  1215.9 sec ; nmult =     87
 iogs (   gs) : iter =     47 ; delta = 9.865139e-03 ; diff = 3.777534e-03 ; dt =  1230.0 sec ; nmult =     88
 iogs (   gs) : iter =     48 ; delta = 9.865139e-03 ; diff = 3.614985e-03 ; dt =  1243.8 sec ; nmult =     89
 iogs (   gs) : iter =     49 ; delta = 9.865139e-03 ; diff = 3.462320e-03 ; dt =  1257.8 sec ; nmult =     90
 iogs (   gs) : iter =     50 ; delta = 9.865139e-03 ; diff = 3.316545e-03 ; dt =  1271.9 sec ; nmult =     91
 iogs (   gs) : iter =     51 ; delta = 9.865139e-03 ; diff = 3.178827e-03 ; dt =  1285.9 sec ; nmult =     92
 iogs (   gs) : iter =     52 ; delta = 9.865139e-03 ; diff = 3.047136e-03 ; dt =  1300.3 sec ; nmult =     93
 iogs (   gs) : iter =     53 ; delta = 9.865139e-03 ; diff = 2.923054e-03 ; dt =  1314.0 sec ; nmult =     94
 iogs (   gs) : iter =     54 ; delta = 9.865139e-03 ; diff = 2.803709e-03 ; dt =  1328.0 sec ; nmult =     95
 iogs (   gs) : iter =     55 ; delta = 9.865139e-03 ; diff = 2.691459e-03 ; dt =  1342.1 sec ; nmult =     96
 iogs (   gs) : iter =     56 ; delta = 9.865139e-03 ; diff = 2.584243e-03 ; dt =  1356.0 sec ; nmult =     97
 iogs (   gs) : iter =     57 ; delta = 9.865139e-03 ; diff = 2.483054e-03 ; dt =  1369.9 sec ; nmult =     98
 iogs (   gs) : iter =     58 ; delta = 9.865139e-03 ; diff = 2.386057e-03 ; dt =  1383.8 sec ; nmult =     99
 iogs (   gs) : iter =     59 ; delta = 9.865139e-03 ; diff = 2.294590e-03 ; dt =  1397.6 sec ; nmult =    100
 iogs (   gs) : iter =     60 ; delta = 9.865139e-03 ; diff = 2.206204e-03 ; dt =  1411.8 sec ; nmult =    101
 iogs (   gs) : iter =     61 ; delta = 9.865139e-03 ; diff = 2.122775e-03 ; dt =  1425.5 sec ; nmult =    102
 iogs (   gs) : iter =     62 ; delta = 9.865139e-03 ; diff = 2.042367e-03 ; dt =  1439.6 sec ; nmult =    103
 iogs (   gs) : iter =     63 ; delta = 9.865139e-03 ; diff = 1.966011e-03 ; dt =  1453.5 sec ; nmult =    104
 iogs (   gs) : iter =     64 ; delta = 9.865139e-03 ; diff = 1.892225e-03 ; dt =  1467.5 sec ; nmult =    105
 iogs (   gs) : iter =     65 ; delta = 9.865139e-03 ; diff = 1.822475e-03 ; dt =  1481.5 sec ; nmult =    106
 iogs (   gs) : iter =     66 ; delta = 9.865139e-03 ; diff = 1.754723e-03 ; dt =  1495.4 sec ; nmult =    107
 iogs (   gs) : iter =     67 ; delta = 9.865139e-03 ; diff = 1.690690e-03 ; dt =  1509.4 sec ; nmult =    108
 iogs (   gs) : iter =     68 ; delta = 9.865139e-03 ; diff = 1.628620e-03 ; dt =  1523.5 sec ; nmult =    109
 iogs (   gs) : iter =     69 ; delta = 9.865139e-03 ; diff = 1.569675e-03 ; dt =  1537.4 sec ; nmult =    110
 iogs (   gs) : iter =     70 ; delta = 9.865139e-03 ; diff = 1.512604e-03 ; dt =  1551.3 sec ; nmult =    111
 iogs (   gs) : iter =     71 ; delta = 9.865139e-03 ; diff = 1.458711e-03 ; dt =  1565.2 sec ; nmult =    112
 iogs (   gs) : iter =     72 ; delta = 9.865139e-03 ; diff = 1.406218e-03 ; dt =  1579.0 sec ; nmult =    113
 iogs (   gs) : iter =     73 ; delta = 9.865139e-03 ; diff = 1.356684e-03 ; dt =  1593.1 sec ; nmult =    114
 iogs (   gs) : iter =     74 ; delta = 9.865139e-03 ; diff = 1.308563e-03 ; dt =  1606.9 sec ; nmult =    115
 iogs (   gs) : iter =     75 ; delta = 9.865139e-03 ; diff = 1.262941e-03 ; dt =  1620.8 sec ; nmult =    116
 iogs (   gs) : iter =     76 ; delta = 9.865139e-03 ; diff = 1.218597e-03 ; dt =  1634.7 sec ; nmult =    117
 iogs (   gs) : iter =     77 ; delta = 9.865139e-03 ; diff = 1.176722e-03 ; dt =  1648.7 sec ; nmult =    118
 iogs (   gs) : iter =     78 ; delta = 9.865139e-03 ; diff = 1.135740e-03 ; dt =  1662.7 sec ; nmult =    119
 iogs (   gs) : iter =     79 ; delta = 9.865139e-03 ; diff = 1.097044e-03 ; dt =  1676.5 sec ; nmult =    120
 iogs (   gs) : iter =     80 ; delta = 9.865139e-03 ; diff = 1.059334e-03 ; dt =  1690.5 sec ; nmult =    121
 iogs (   gs) : iter =     81 ; delta = 9.865139e-03 ; diff = 1.023600e-03 ; dt =  1704.5 sec ; nmult =    122
 iogs (   gs) : iter =     82 ; delta = 9.865139e-03 ; diff = 9.887340e-04 ; dt =  1718.4 sec ; nmult =    123
 iogs (   gs) : iter =     83 ; delta = 9.865139e-03 ; diff = 9.558196e-04 ; dt =  1732.5 sec ; nmult =    124
 iogs (   gs) : iter =     84 ; delta = 9.865139e-03 ; diff = 9.234445e-04 ; dt =  1746.5 sec ; nmult =    125
 iogs (   gs) : iter =     85 ; delta = 9.865139e-03 ; diff = 8.929272e-04 ; dt =  1760.4 sec ; nmult =    126
 iogs (   gs) : iter =     86 ; delta = 9.865139e-03 ; diff = 8.630523e-04 ; dt =  1774.3 sec ; nmult =    127
 iogs (   gs) : iter =     87 ; delta = 9.865139e-03 ; diff = 8.347475e-04 ; dt =  1788.1 sec ; nmult =    128
 iogs (   gs) : iter =     88 ; delta = 9.865139e-03 ; diff = 8.069811e-04 ; dt =  1802.2 sec ; nmult =    129
 iogs (   gs) : iter =     89 ; delta = 9.865139e-03 ; diff = 7.807926e-04 ; dt =  1816.1 sec ; nmult =    130
 iogs (   gs) : iter =     90 ; delta = 9.865139e-03 ; diff = 7.549499e-04 ; dt =  1830.1 sec ; nmult =    131
 iogs (   gs) : iter =     91 ; delta = 9.865139e-03 ; diff = 7.306120e-04 ; dt =  1844.0 sec ; nmult =    132
 iogs (   gs) : iter =     92 ; delta = 9.865139e-03 ; diff = 7.066901e-04 ; dt =  1858.1 sec ; nmult =    133
 iogs (   gs) : iter =     93 ; delta = 9.865139e-03 ; diff = 6.840241e-04 ; dt =  1872.3 sec ; nmult =    134
 iogs (   gs) : iter =     94 ; delta = 9.865139e-03 ; diff = 6.617316e-04 ; dt =  1886.3 sec ; nmult =    135
 iogs (   gs) : iter =     95 ; delta = 9.865139e-03 ; diff = 6.407294e-04 ; dt =  1900.4 sec ; nmult =    136
 iogs (   gs) : iter =     96 ; delta = 9.865139e-03 ; diff = 6.199171e-04 ; dt =  1914.6 sec ; nmult =    137
 iogs (   gs) : iter =     97 ; delta = 9.865139e-03 ; diff = 6.003352e-04 ; dt =  1928.7 sec ; nmult =    138
 iogs (   gs) : iter =     98 ; delta = 9.865139e-03 ; diff = 5.810284e-04 ; dt =  1943.0 sec ; nmult =    139
 iogs (   gs) : iter =     99 ; delta = 9.865139e-03 ; diff = 5.627603e-04 ; dt =  1957.0 sec ; nmult =    140
 iogs (   gs) : iter =    100 ; delta = 9.865139e-03 ; diff = 5.447302e-04 ; dt =  1971.1 sec ; nmult =    141
 iogs (   gs) : iter =    101 ; delta = 9.865139e-03 ; diff = 5.277684e-04 ; dt =  1985.3 sec ; nmult =    142
 iogs (   gs) : iter =    102 ; delta = 9.865139e-03 ; diff = 5.109045e-04 ; dt =  1999.4 sec ; nmult =    143
 iogs (   gs) : iter =    103 ; delta = 9.865139e-03 ; diff = 4.950532e-04 ; dt =  2013.5 sec ; nmult =    144
 iogs (   gs) : iter =    104 ; delta = 9.865139e-03 ; diff = 4.793652e-04 ; dt =  2027.6 sec ; nmult =    145
 iogs (   gs) : iter =    105 ; delta = 9.865139e-03 ; diff = 4.645358e-04 ; dt =  2041.7 sec ; nmult =    146
 iogs (   gs) : iter =    106 ; delta = 9.865139e-03 ; diff = 4.498523e-04 ; dt =  2055.9 sec ; nmult =    147
 iogs (   gs) : iter =    107 ; delta = 9.865139e-03 ; diff = 4.360788e-04 ; dt =  2069.9 sec ; nmult =    148
 iogs (   gs) : iter =    108 ; delta = 9.865139e-03 ; diff = 4.223591e-04 ; dt =  2084.2 sec ; nmult =    149
 iogs (   gs) : iter =    109 ; delta = 9.865139e-03 ; diff = 4.094929e-04 ; dt =  2098.2 sec ; nmult =    150
 iogs (   gs) : iter =    110 ; delta = 9.865139e-03 ; diff = 3.967286e-04 ; dt =  2112.3 sec ; nmult =    151
 iogs (   gs) : iter =    111 ; delta = 9.865139e-03 ; diff = 3.846826e-04 ; dt =  2126.5 sec ; nmult =    152
 iogs (   gs) : iter =    112 ; delta = 9.865139e-03 ; diff = 3.727177e-04 ; dt =  2140.6 sec ; nmult =    153
 iogs (   gs) : iter =    113 ; delta = 9.865139e-03 ; diff = 3.614997e-04 ; dt =  2154.8 sec ; nmult =    154
 iogs (   gs) : iter =    114 ; delta = 9.865139e-03 ; diff = 3.502737e-04 ; dt =  2168.8 sec ; nmult =    155
 iogs (   gs) : iter =    115 ; delta = 9.865139e-03 ; diff = 3.397700e-04 ; dt =  2182.9 sec ; nmult =    156
 iogs (   gs) : iter =    116 ; delta = 9.865139e-03 ; diff = 3.293112e-04 ; dt =  2197.1 sec ; nmult =    157
 iogs (   gs) : iter =    117 ; delta = 9.865139e-03 ; diff = 3.194736e-04 ; dt =  2211.1 sec ; nmult =    158
 iogs (   gs) : iter =    118 ; delta = 9.865139e-03 ; diff = 3.096692e-04 ; dt =  2225.3 sec ; nmult =    159
 iogs (   gs) : iter =    119 ; delta = 9.865139e-03 ; diff = 3.005024e-04 ; dt =  2239.4 sec ; nmult =    160
 iogs (   gs) : iter =    120 ; delta = 9.865139e-03 ; diff = 2.912983e-04 ; dt =  2253.4 sec ; nmult =    161
 iogs (   gs) : iter =    121 ; delta = 9.865139e-03 ; diff = 2.826985e-04 ; dt =  2267.6 sec ; nmult =    162
 iogs (   gs) : iter =    122 ; delta = 9.865139e-03 ; diff = 2.741034e-04 ; dt =  2281.7 sec ; nmult =    163
 iogs (   gs) : iter =    123 ; delta = 9.865139e-03 ; diff = 2.660303e-04 ; dt =  2295.8 sec ; nmult =    164
 iogs (   gs) : iter =    124 ; delta = 9.865139e-03 ; diff = 2.579558e-04 ; dt =  2309.8 sec ; nmult =    165
 iogs (   gs) : iter =    125 ; delta = 9.865139e-03 ; diff = 2.504256e-04 ; dt =  2323.9 sec ; nmult =    166
 iogs (   gs) : iter =    126 ; delta = 9.865139e-03 ; diff = 2.428382e-04 ; dt =  2338.1 sec ; nmult =    167
 iogs (   gs) : iter =    127 ; delta = 9.865139e-03 ; diff = 2.357679e-04 ; dt =  2352.1 sec ; nmult =    168
 iogs (   gs) : iter =    128 ; delta = 9.865139e-03 ; diff = 2.286761e-04 ; dt =  2366.3 sec ; nmult =    169
 iogs (   gs) : iter =    129 ; delta = 9.865139e-03 ; diff = 2.220323e-04 ; dt =  2380.4 sec ; nmult =    170
 iogs (   gs) : iter =    130 ; delta = 9.865139e-03 ; diff = 2.153811e-04 ; dt =  2394.5 sec ; nmult =    171
 iogs (   gs) : iter =    131 ; delta = 9.865139e-03 ; diff = 2.091979e-04 ; dt =  2408.7 sec ; nmult =    172
 iogs (   gs) : iter =    132 ; delta = 9.865139e-03 ; diff = 2.029479e-04 ; dt =  2422.7 sec ; nmult =    173
 iogs (   gs) : iter =    133 ; delta = 9.865139e-03 ; diff = 1.971439e-04 ; dt =  2436.9 sec ; nmult =    174
 iogs (   gs) : iter =    134 ; delta = 9.865139e-03 ; diff = 1.912984e-04 ; dt =  2450.9 sec ; nmult =    175
 iogs (   gs) : iter =    135 ; delta = 9.865139e-03 ; diff = 1.858361e-04 ; dt =  2465.0 sec ; nmult =    176
 iogs (   gs) : iter =    136 ; delta = 9.865139e-03 ; diff = 1.803315e-04 ; dt =  2479.2 sec ; nmult =    177
 iogs (   gs) : iter =    137 ; delta = 9.865139e-03 ; diff = 1.752252e-04 ; dt =  2493.3 sec ; nmult =    178
 iogs (   gs) : iter =    138 ; delta = 9.865139e-03 ; diff = 1.700371e-04 ; dt =  2507.4 sec ; nmult =    179
 iogs (   gs) : iter =    139 ; delta = 9.865139e-03 ; diff = 1.652322e-04 ; dt =  2521.5 sec ; nmult =    180
 iogs (   gs) : iter =    140 ; delta = 9.865139e-03 ; diff = 1.603775e-04 ; dt =  2535.5 sec ; nmult =    181
 iogs (   gs) : iter =    141 ; delta = 9.865139e-03 ; diff = 1.558547e-04 ; dt =  2549.7 sec ; nmult =    182
 iogs (   gs) : iter =    142 ; delta = 9.865139e-03 ; diff = 1.512792e-04 ; dt =  2563.8 sec ; nmult =    183
 iogs (   gs) : iter =    143 ; delta = 9.865139e-03 ; diff = 1.470511e-04 ; dt =  2578.0 sec ; nmult =    184
 iogs (   gs) : iter =    144 ; delta = 9.865139e-03 ; diff = 1.427421e-04 ; dt =  2592.0 sec ; nmult =    185
 iogs (   gs) : iter =    145 ; delta = 9.865139e-03 ; diff = 1.387668e-04 ; dt =  2606.1 sec ; nmult =    186
 iogs (   gs) : iter =    146 ; delta = 9.865139e-03 ; diff = 1.347318e-04 ; dt =  2620.3 sec ; nmult =    187
 iogs (   gs) : iter =    147 ; delta = 9.865139e-03 ; diff = 1.309859e-04 ; dt =  2634.3 sec ; nmult =    188
 iogs (   gs) : iter =    148 ; delta = 9.865139e-03 ; diff = 1.271802e-04 ; dt =  2648.6 sec ; nmult =    189
 iogs (   gs) : iter =    149 ; delta = 9.865139e-03 ; diff = 1.236744e-04 ; dt =  2662.6 sec ; nmult =    190
 iogs (   gs) : iter =    150 ; delta = 9.865139e-03 ; diff = 1.200834e-04 ; dt =  2676.6 sec ; nmult =    191
 iogs (   gs) : iter =    151 ; delta = 9.865139e-03 ; diff = 1.167807e-04 ; dt =  2690.9 sec ; nmult =    192
 iogs (   gs) : iter =    152 ; delta = 9.865139e-03 ; diff = 1.134141e-04 ; dt =  2704.9 sec ; nmult =    193
 iogs (   gs) : iter =    153 ; delta = 9.865139e-03 ; diff = 1.102986e-04 ; dt =  2719.1 sec ; nmult =    194
 iogs (   gs) : iter =    154 ; delta = 9.865139e-03 ; diff = 1.071186e-04 ; dt =  2733.2 sec ; nmult =    195
 iogs (   gs) : iter =    155 ; delta = 9.865139e-03 ; diff = 1.041995e-04 ; dt =  2747.2 sec ; nmult =    196
 iogs (   gs) : iter =    156 ; delta = 9.865139e-03 ; diff = 1.011949e-04 ; dt =  2761.6 sec ; nmult =    197
 iogs (   gs) : iter =    157 ; delta = 9.865139e-03 ; diff = 9.844397e-05 ; dt =  2775.6 sec ; nmult =    198
 iogs (   gs) : iter =    158 ; delta = 9.865139e-03 ; diff = 9.562855e-05 ; dt =  2789.7 sec ; nmult =    199
 iogs (   gs) : iter =    159 ; delta = 9.865139e-03 ; diff = 9.303292e-05 ; dt =  2803.9 sec ; nmult =    200
 iogs (   gs) : iter =    160 ; delta = 9.865139e-03 ; diff = 9.037338e-05 ; dt =  2817.9 sec ; nmult =    201
 iogs (   gs) : iter =    161 ; delta = 9.865139e-03 ; diff = 8.794348e-05 ; dt =  2832.1 sec ; nmult =    202
 iogs (   gs) : iter =    162 ; delta = 9.865139e-03 ; diff = 8.543037e-05 ; dt =  2846.2 sec ; nmult =    203
 iogs (   gs) : iter =    163 ; delta = 9.865139e-03 ; diff = 8.313926e-05 ; dt =  2860.3 sec ; nmult =    204
 iogs (   gs) : iter =    164 ; delta = 9.865139e-03 ; diff = 8.078251e-05 ; dt =  2874.5 sec ; nmult =    205
 iogs (   gs) : iter =    165 ; delta = 9.865139e-03 ; diff = 7.861966e-05 ; dt =  2888.6 sec ; nmult =    206
 iogs (   gs) : iter =    166 ; delta = 9.865139e-03 ; diff = 7.639135e-05 ; dt =  2902.8 sec ; nmult =    207
 iogs (   gs) : iter =    167 ; delta = 9.865139e-03 ; diff = 7.436259e-05 ; dt =  2916.8 sec ; nmult =    208
 iogs (   gs) : iter =    168 ; delta = 9.865139e-03 ; diff = 7.225340e-05 ; dt =  2930.9 sec ; nmult =    209
 iogs (   gs) : iter =    169 ; delta = 9.865139e-03 ; diff = 7.033657e-05 ; dt =  2945.2 sec ; nmult =    210
 iogs (   gs) : iter =    170 ; delta = 9.865139e-03 ; diff = 6.835471e-05 ; dt =  2959.2 sec ; nmult =    211
 iogs (   gs) : iter =    171 ; delta = 9.865139e-03 ; diff = 6.654267e-05 ; dt =  2973.4 sec ; nmult =    212
 iogs (   gs) : iter =    172 ; delta = 9.865139e-03 ; diff = 6.466683e-05 ; dt =  2987.5 sec ; nmult =    213
 iogs (   gs) : iter =    173 ; delta = 9.865139e-03 ; diff = 6.296754e-05 ; dt =  3001.6 sec ; nmult =    214
 iogs (   gs) : iter =    174 ; delta = 9.865139e-03 ; diff = 6.119156e-05 ; dt =  3015.8 sec ; nmult =    215
 iogs (   gs) : iter =    175 ; delta = 9.865139e-03 ; diff = 5.958594e-05 ; dt =  3029.8 sec ; nmult =    216
 iogs (   gs) : iter =    176 ; delta = 9.865139e-03 ; diff = 5.791816e-05 ; dt =  3044.0 sec ; nmult =    217
 iogs (   gs) : iter =    177 ; delta = 9.865139e-03 ; diff = 5.640144e-05 ; dt =  3058.1 sec ; nmult =    218
 iogs (   gs) : iter =    178 ; delta = 9.865139e-03 ; diff = 5.482263e-05 ; dt =  3072.1 sec ; nmult =    219
 iogs (   gs) : iter =    179 ; delta = 9.865139e-03 ; diff = 5.339897e-05 ; dt =  3086.3 sec ; nmult =    220
 iogs (   gs) : iter =    180 ; delta = 9.865139e-03 ; diff = 5.190285e-05 ; dt =  3100.4 sec ; nmult =    221
 iogs (   gs) : iter =    181 ; delta = 9.865139e-03 ; diff = 5.055619e-05 ; dt =  3114.6 sec ; nmult =    222
 iogs (   gs) : iter =    182 ; delta = 9.865139e-03 ; diff = 4.914844e-05 ; dt =  3128.7 sec ; nmult =    223
 iogs (   gs) : iter =    183 ; delta = 9.865139e-03 ; diff = 4.787382e-05 ; dt =  3142.7 sec ; nmult =    224
 iogs (   gs) : iter =    184 ; delta = 9.865139e-03 ; diff = 4.653960e-05 ; dt =  3156.9 sec ; nmult =    225
 iogs (   gs) : iter =    185 ; delta = 9.865139e-03 ; diff = 4.534309e-05 ; dt =  3171.0 sec ; nmult =    226
 iogs (   gs) : iter =    186 ; delta = 9.865139e-03 ; diff = 4.407802e-05 ; dt =  3185.2 sec ; nmult =    227
 iogs (   gs) : iter =    187 ; delta = 9.865139e-03 ; diff = 4.294557e-05 ; dt =  3199.3 sec ; nmult =    228
 iogs (   gs) : iter =    188 ; delta = 9.865139e-03 ; diff = 4.175566e-05 ; dt =  3213.3 sec ; nmult =    229
 iogs (   gs) : iter =    189 ; delta = 9.865139e-03 ; diff = 4.068371e-05 ; dt =  3227.5 sec ; nmult =    230
 iogs (   gs) : iter =    190 ; delta = 9.865139e-03 ; diff = 3.955517e-05 ; dt =  3241.6 sec ; nmult =    231
 iogs (   gs) : iter =    191 ; delta = 9.865139e-03 ; diff = 3.854860e-05 ; dt =  3255.7 sec ; nmult =    232
 iogs (   gs) : iter =    192 ; delta = 9.865139e-03 ; diff = 3.747766e-05 ; dt =  3269.8 sec ; nmult =    233
 iogs (   gs) : iter =    193 ; delta = 9.865139e-03 ; diff = 3.652455e-05 ; dt =  3283.8 sec ; nmult =    234
 iogs (   gs) : iter =    194 ; delta = 9.865139e-03 ; diff = 3.551630e-05 ; dt =  3298.0 sec ; nmult =    235
 iogs (   gs) : iter =    195 ; delta = 9.865139e-03 ; diff = 3.461324e-05 ; dt =  3312.1 sec ; nmult =    236
 iogs (   gs) : iter =    196 ; delta = 9.865139e-03 ; diff = 3.365680e-05 ; dt =  3326.3 sec ; nmult =    237
 iogs (   gs) : iter =    197 ; delta = 9.865139e-03 ; diff = 3.280887e-05 ; dt =  3340.3 sec ; nmult =    238
 iogs (   gs) : iter =    198 ; delta = 9.865139e-03 ; diff = 3.190114e-05 ; dt =  3354.4 sec ; nmult =    239
