Parameters: 
   graphfile = /var/tmp/dgleich/data/sk-2005-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 50636154
edges = 1949412601
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.322439e+00 ; dt =    51.2
 iogs (outer) : iter =      1 ; odelta = 3.222867e-01 ; dt =   313.3 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.116112e-01 ; dt =   575.4 ; nmult =        11
 iogs (outer) : iter =      3 ; odelta = 6.298903e-02 ; dt =   785.6 ; nmult =        15
 iogs (outer) : iter =      4 ; odelta = 4.488223e-02 ; dt =   996.3 ; nmult =        19
 iogs (outer) : iter =      5 ; odelta = 3.503196e-02 ; dt =  1207.8 ; nmult =        23
 iogs (outer) : iter =      6 ; odelta = 2.874110e-02 ; dt =  1420.5 ; nmult =        27
 iogs (outer) : iter =      7 ; odelta = 2.436960e-02 ; dt =  1633.2 ; nmult =        31
 iogs (outer) : iter =      8 ; odelta = 2.123207e-02 ; dt =  1792.6 ; nmult =        34
 iogs (outer) : iter =      9 ; odelta = 1.874127e-02 ; dt =  1952.1 ; nmult =        37
 iogs (outer) : iter =     10 ; odelta = 1.674043e-02 ; dt =  2111.7 ; nmult =        40
 iogs (outer) : iter =     11 ; odelta = 1.509967e-02 ; dt =  2271.5 ; nmult =        43
 iogs (outer) : iter =     12 ; odelta = 1.371312e-02 ; dt =  2431.5 ; nmult =        46
 iogs (outer) : iter =     13 ; odelta = 1.253646e-02 ; dt =  2591.5 ; nmult =        49
 iogs (outer) : iter =     14 ; odelta = 1.153236e-02 ; dt =  2751.8 ; nmult =        52
 iogs (outer) : iter =     15 ; odelta = 1.065097e-02 ; dt =  2912.3 ; nmult =        55
 iogs (outer) : iter =     16 ; odelta = 9.870745e-03 ; dt =  3073.1 ; nmult =        58
 iogs (   gs) : iter =     31 ; delta = 9.870745e-03 ; diff = 8.330869e-03 ; dt =  3878.3 sec ; nmult =     73
 iogs (   gs) : iter =     32 ; delta = 9.870745e-03 ; diff = 7.902354e-03 ; dt =  3932.2 sec ; nmult =     74
 iogs (   gs) : iter =     33 ; delta = 9.870745e-03 ; diff = 7.554613e-03 ; dt =  3985.9 sec ; nmult =     75
 iogs (   gs) : iter =     34 ; delta = 9.870745e-03 ; diff = 7.179731e-03 ; dt =  4039.7 sec ; nmult =     76
 iogs (   gs) : iter =     35 ; delta = 9.870745e-03 ; diff = 6.872766e-03 ; dt =  4093.5 sec ; nmult =     77
 iogs (   gs) : iter =     36 ; delta = 9.870745e-03 ; diff = 6.539149e-03 ; dt =  4147.2 sec ; nmult =     78
 iogs (   gs) : iter =     37 ; delta = 9.870745e-03 ; diff = 6.264472e-03 ; dt =  4201.0 sec ; nmult =     79
 iogs (   gs) : iter =     38 ; delta = 9.870745e-03 ; diff = 5.966653e-03 ; dt =  4254.9 sec ; nmult =     80
 iogs (   gs) : iter =     39 ; delta = 9.870745e-03 ; diff = 5.721372e-03 ; dt =  4308.6 sec ; nmult =     81
 iogs (   gs) : iter =     40 ; delta = 9.870745e-03 ; diff = 5.455692e-03 ; dt =  4362.5 sec ; nmult =     82
 iogs (   gs) : iter =     41 ; delta = 9.870745e-03 ; diff = 5.236199e-03 ; dt =  4416.3 sec ; nmult =     83
 iogs (   gs) : iter =     42 ; delta = 9.870745e-03 ; diff = 4.997833e-03 ; dt =  4470.0 sec ; nmult =     84
 iogs (   gs) : iter =     43 ; delta = 9.870745e-03 ; diff = 4.800162e-03 ; dt =  4523.7 sec ; nmult =     85
 iogs (   gs) : iter =     44 ; delta = 9.870745e-03 ; diff = 4.585778e-03 ; dt =  4577.3 sec ; nmult =     86
 iogs (   gs) : iter =     45 ; delta = 9.870745e-03 ; diff = 4.406459e-03 ; dt =  4631.0 sec ; nmult =     87
 iogs (   gs) : iter =     46 ; delta = 9.870745e-03 ; diff = 4.212179e-03 ; dt =  4684.6 sec ; nmult =     88
 iogs (   gs) : iter =     47 ; delta = 9.870745e-03 ; diff = 4.048942e-03 ; dt =  4738.4 sec ; nmult =     89
 iogs (   gs) : iter =     48 ; delta = 9.870745e-03 ; diff = 3.872629e-03 ; dt =  4792.1 sec ; nmult =     90
 iogs (   gs) : iter =     49 ; delta = 9.870745e-03 ; diff = 3.723726e-03 ; dt =  4845.8 sec ; nmult =     91
 iogs (   gs) : iter =     50 ; delta = 9.870745e-03 ; diff = 3.563451e-03 ; dt =  4899.6 sec ; nmult =     92
 iogs (   gs) : iter =     51 ; delta = 9.870745e-03 ; diff = 3.427409e-03 ; dt =  4953.4 sec ; nmult =     93
 iogs (   gs) : iter =     52 ; delta = 9.870745e-03 ; diff = 3.281510e-03 ; dt =  5007.1 sec ; nmult =     94
 iogs (   gs) : iter =     53 ; delta = 9.870745e-03 ; diff = 3.157372e-03 ; dt =  5060.9 sec ; nmult =     95
 iogs (   gs) : iter =     54 ; delta = 9.870745e-03 ; diff = 3.024712e-03 ; dt =  5114.6 sec ; nmult =     96
 iogs (   gs) : iter =     55 ; delta = 9.870745e-03 ; diff = 2.911085e-03 ; dt =  5168.3 sec ; nmult =     97
 iogs (   gs) : iter =     56 ; delta = 9.870745e-03 ; diff = 2.789955e-03 ; dt =  5222.0 sec ; nmult =     98
 iogs (   gs) : iter =     57 ; delta = 9.870745e-03 ; diff = 2.685767e-03 ; dt =  5275.8 sec ; nmult =     99
 iogs (   gs) : iter =     58 ; delta = 9.870745e-03 ; diff = 2.575261e-03 ; dt =  5329.7 sec ; nmult =    100
 iogs (   gs) : iter =     59 ; delta = 9.870745e-03 ; diff = 2.480156e-03 ; dt =  5383.6 sec ; nmult =    101
 iogs (   gs) : iter =     60 ; delta = 9.870745e-03 ; diff = 2.380193e-03 ; dt =  5437.5 sec ; nmult =    102
 iogs (   gs) : iter =     61 ; delta = 9.870745e-03 ; diff = 2.293865e-03 ; dt =  5491.5 sec ; nmult =    103
 iogs (   gs) : iter =     62 ; delta = 9.870745e-03 ; diff = 2.202661e-03 ; dt =  5545.4 sec ; nmult =    104
 iogs (   gs) : iter =     63 ; delta = 9.870745e-03 ; diff = 2.123311e-03 ; dt =  5599.3 sec ; nmult =    105
 iogs (   gs) : iter =     64 ; delta = 9.870745e-03 ; diff = 2.039763e-03 ; dt =  5653.2 sec ; nmult =    106
 iogs (   gs) : iter =     65 ; delta = 9.870745e-03 ; diff = 1.966676e-03 ; dt =  5707.2 sec ; nmult =    107
 iogs (   gs) : iter =     66 ; delta = 9.870745e-03 ; diff = 1.889925e-03 ; dt =  5761.0 sec ; nmult =    108
 iogs (   gs) : iter =     67 ; delta = 9.870745e-03 ; diff = 1.822538e-03 ; dt =  5814.9 sec ; nmult =    109
 iogs (   gs) : iter =     68 ; delta = 9.870745e-03 ; diff = 1.752142e-03 ; dt =  5868.7 sec ; nmult =    110
 iogs (   gs) : iter =     69 ; delta = 9.870745e-03 ; diff = 1.690119e-03 ; dt =  5922.5 sec ; nmult =    111
 iogs (   gs) : iter =     70 ; delta = 9.870745e-03 ; diff = 1.625521e-03 ; dt =  5976.3 sec ; nmult =    112
 iogs (   gs) : iter =     71 ; delta = 9.870745e-03 ; diff = 1.568497e-03 ; dt =  6030.1 sec ; nmult =    113
 iogs (   gs) : iter =     72 ; delta = 9.870745e-03 ; diff = 1.509326e-03 ; dt =  6084.1 sec ; nmult =    114
 iogs (   gs) : iter =     73 ; delta = 9.870745e-03 ; diff = 1.456731e-03 ; dt =  6137.9 sec ; nmult =    115
 iogs (   gs) : iter =     74 ; delta = 9.870745e-03 ; diff = 1.402253e-03 ; dt =  6191.7 sec ; nmult =    116
 iogs (   gs) : iter =     75 ; delta = 9.870745e-03 ; diff = 1.353709e-03 ; dt =  6245.6 sec ; nmult =    117
 iogs (   gs) : iter =     76 ; delta = 9.870745e-03 ; diff = 1.303659e-03 ; dt =  6299.5 sec ; nmult =    118
 iogs (   gs) : iter =     77 ; delta = 9.870745e-03 ; diff = 1.258870e-03 ; dt =  6353.4 sec ; nmult =    119
 iogs (   gs) : iter =     78 ; delta = 9.870745e-03 ; diff = 1.212710e-03 ; dt =  6407.3 sec ; nmult =    120
 iogs (   gs) : iter =     79 ; delta = 9.870745e-03 ; diff = 1.171323e-03 ; dt =  6461.1 sec ; nmult =    121
 iogs (   gs) : iter =     80 ; delta = 9.870745e-03 ; diff = 1.128841e-03 ; dt =  6514.9 sec ; nmult =    122
 iogs (   gs) : iter =     81 ; delta = 9.870745e-03 ; diff = 1.090592e-03 ; dt =  6568.8 sec ; nmult =    123
 iogs (   gs) : iter =     82 ; delta = 9.870745e-03 ; diff = 1.051372e-03 ; dt =  6622.8 sec ; nmult =    124
 iogs (   gs) : iter =     83 ; delta = 9.870745e-03 ; diff = 1.015918e-03 ; dt =  6676.7 sec ; nmult =    125
 iogs (   gs) : iter =     84 ; delta = 9.870745e-03 ; diff = 9.796788e-04 ; dt =  6730.5 sec ; nmult =    126
 iogs (   gs) : iter =     85 ; delta = 9.870745e-03 ; diff = 9.468314e-04 ; dt =  6784.4 sec ; nmult =    127
 iogs (   gs) : iter =     86 ; delta = 9.870745e-03 ; diff = 9.133073e-04 ; dt =  6838.2 sec ; nmult =    128
 iogs (   gs) : iter =     87 ; delta = 9.870745e-03 ; diff = 8.828304e-04 ; dt =  6892.1 sec ; nmult =    129
 iogs (   gs) : iter =     88 ; delta = 9.870745e-03 ; diff = 8.518036e-04 ; dt =  6945.7 sec ; nmult =    130
 iogs (   gs) : iter =     89 ; delta = 9.870745e-03 ; diff = 8.234998e-04 ; dt =  6999.6 sec ; nmult =    131
 iogs (   gs) : iter =     90 ; delta = 9.870745e-03 ; diff = 7.947376e-04 ; dt =  7053.3 sec ; nmult =    132
 iogs (   gs) : iter =     91 ; delta = 9.870745e-03 ; diff = 7.684305e-04 ; dt =  7107.2 sec ; nmult =    133
 iogs (   gs) : iter =     92 ; delta = 9.870745e-03 ; diff = 7.417912e-04 ; dt =  7160.9 sec ; nmult =    134
 iogs (   gs) : iter =     93 ; delta = 9.870745e-03 ; diff = 7.174382e-04 ; dt =  7214.7 sec ; nmult =    135
 iogs (   gs) : iter =     94 ; delta = 9.870745e-03 ; diff = 6.928898e-04 ; dt =  7268.6 sec ; nmult =    136
 iogs (   gs) : iter =     95 ; delta = 9.870745e-03 ; diff = 6.703778e-04 ; dt =  7322.5 sec ; nmult =    137
 iogs (   gs) : iter =     96 ; delta = 9.870745e-03 ; diff = 6.476364e-04 ; dt =  7376.3 sec ; nmult =    138
 iogs (   gs) : iter =     97 ; delta = 9.870745e-03 ; diff = 6.266861e-04 ; dt =  7430.1 sec ; nmult =    139
 iogs (   gs) : iter =     98 ; delta = 9.870745e-03 ; diff = 6.055563e-04 ; dt =  7484.0 sec ; nmult =    140
 iogs (   gs) : iter =     99 ; delta = 9.870745e-03 ; diff = 5.860349e-04 ; dt =  7537.8 sec ; nmult =    141
 iogs (   gs) : iter =    100 ; delta = 9.870745e-03 ; diff = 5.663891e-04 ; dt =  7591.6 sec ; nmult =    142
 iogs (   gs) : iter =    101 ; delta = 9.870745e-03 ; diff = 5.482112e-04 ; dt =  7645.3 sec ; nmult =    143
 iogs (   gs) : iter =    102 ; delta = 9.870745e-03 ; diff = 5.299546e-04 ; dt =  7698.9 sec ; nmult =    144
 iogs (   gs) : iter =    103 ; delta = 9.870745e-03 ; diff = 5.130269e-04 ; dt =  7752.6 sec ; nmult =    145
 iogs (   gs) : iter =    104 ; delta = 9.870745e-03 ; diff = 4.960475e-04 ; dt =  7806.4 sec ; nmult =    146
 iogs (   gs) : iter =    105 ; delta = 9.870745e-03 ; diff = 4.802563e-04 ; dt =  7860.1 sec ; nmult =    147
 iogs (   gs) : iter =    106 ; delta = 9.870745e-03 ; diff = 4.644406e-04 ; dt =  7913.8 sec ; nmult =    148
 iogs (   gs) : iter =    107 ; delta = 9.870745e-03 ; diff = 4.497080e-04 ; dt =  7967.6 sec ; nmult =    149
 iogs (   gs) : iter =    108 ; delta = 9.870745e-03 ; diff = 4.349837e-04 ; dt =  8021.3 sec ; nmult =    150
 iogs (   gs) : iter =    109 ; delta = 9.870745e-03 ; diff = 4.212526e-04 ; dt =  8075.1 sec ; nmult =    151
 iogs (   gs) : iter =    110 ; delta = 9.870745e-03 ; diff = 4.075522e-04 ; dt =  8128.8 sec ; nmult =    152
 iogs (   gs) : iter =    111 ; delta = 9.870745e-03 ; diff = 3.947496e-04 ; dt =  8182.6 sec ; nmult =    153
 iogs (   gs) : iter =    112 ; delta = 9.870745e-03 ; diff = 3.819897e-04 ; dt =  8236.3 sec ; nmult =    154
 iogs (   gs) : iter =    113 ; delta = 9.870745e-03 ; diff = 3.700421e-04 ; dt =  8290.2 sec ; nmult =    155
 iogs (   gs) : iter =    114 ; delta = 9.870745e-03 ; diff = 3.581471e-04 ; dt =  8343.9 sec ; nmult =    156
 iogs (   gs) : iter =    115 ; delta = 9.870745e-03 ; diff = 3.469857e-04 ; dt =  8397.7 sec ; nmult =    157
 iogs (   gs) : iter =    116 ; delta = 9.870745e-03 ; diff = 3.358839e-04 ; dt =  8451.5 sec ; nmult =    158
 iogs (   gs) : iter =    117 ; delta = 9.870745e-03 ; diff = 3.254477e-04 ; dt =  8505.3 sec ; nmult =    159
 iogs (   gs) : iter =    118 ; delta = 9.870745e-03 ; diff = 3.150826e-04 ; dt =  8559.2 sec ; nmult =    160
 iogs (   gs) : iter =    119 ; delta = 9.870745e-03 ; diff = 3.053269e-04 ; dt =  8613.0 sec ; nmult =    161
 iogs (   gs) : iter =    120 ; delta = 9.870745e-03 ; diff = 2.956487e-04 ; dt =  8666.7 sec ; nmult =    162
 iogs (   gs) : iter =    121 ; delta = 9.870745e-03 ; diff = 2.865248e-04 ; dt =  8720.4 sec ; nmult =    163
 iogs (   gs) : iter =    122 ; delta = 9.870745e-03 ; diff = 2.774846e-04 ; dt =  8774.1 sec ; nmult =    164
 iogs (   gs) : iter =    123 ; delta = 9.870745e-03 ; diff = 2.689490e-04 ; dt =  8827.8 sec ; nmult =    165
 iogs (   gs) : iter =    124 ; delta = 9.870745e-03 ; diff = 2.605014e-04 ; dt =  8881.6 sec ; nmult =    166
 iogs (   gs) : iter =    125 ; delta = 9.870745e-03 ; diff = 2.525199e-04 ; dt =  8935.3 sec ; nmult =    167
 iogs (   gs) : iter =    126 ; delta = 9.870745e-03 ; diff = 2.446268e-04 ; dt =  8989.0 sec ; nmult =    168
 iogs (   gs) : iter =    127 ; delta = 9.870745e-03 ; diff = 2.371604e-04 ; dt =  9042.7 sec ; nmult =    169
 iogs (   gs) : iter =    128 ; delta = 9.870745e-03 ; diff = 2.297843e-04 ; dt =  9096.5 sec ; nmult =    170
 iogs (   gs) : iter =    129 ; delta = 9.870745e-03 ; diff = 2.227930e-04 ; dt =  9150.3 sec ; nmult =    171
 iogs (   gs) : iter =    130 ; delta = 9.870745e-03 ; diff = 2.158930e-04 ; dt =  9204.1 sec ; nmult =    172
 iogs (   gs) : iter =    131 ; delta = 9.870745e-03 ; diff = 2.093489e-04 ; dt =  9258.0 sec ; nmult =    173
 iogs (   gs) : iter =    132 ; delta = 9.870745e-03 ; diff = 2.028950e-04 ; dt =  9312.9 sec ; nmult =    174
 iogs (   gs) : iter =    133 ; delta = 9.870745e-03 ; diff = 1.967647e-04 ; dt =  9366.5 sec ; nmult =    175
 iogs (   gs) : iter =    134 ; delta = 9.870745e-03 ; diff = 1.907232e-04 ; dt =  9420.1 sec ; nmult =    176
 iogs (   gs) : iter =    135 ; delta = 9.870745e-03 ; diff = 1.849777e-04 ; dt =  9473.8 sec ; nmult =    177
 iogs (   gs) : iter =    136 ; delta = 9.870745e-03 ; diff = 1.793199e-04 ; dt =  9527.4 sec ; nmult =    178
 iogs (   gs) : iter =    137 ; delta = 9.870745e-03 ; diff = 1.739359e-04 ; dt =  9581.2 sec ; nmult =    179
 iogs (   gs) : iter =    138 ; delta = 9.870745e-03 ; diff = 1.686405e-04 ; dt =  9634.8 sec ; nmult =    180
 iogs (   gs) : iter =    139 ; delta = 9.870745e-03 ; diff = 1.635974e-04 ; dt =  9688.5 sec ; nmult =    181
 iogs (   gs) : iter =    140 ; delta = 9.870745e-03 ; diff = 1.586389e-04 ; dt =  9742.2 sec ; nmult =    182
 iogs (   gs) : iter =    141 ; delta = 9.870745e-03 ; diff = 1.539098e-04 ; dt =  9795.9 sec ; nmult =    183
 iogs (   gs) : iter =    142 ; delta = 9.870745e-03 ; diff = 1.492621e-04 ; dt =  9849.7 sec ; nmult =    184
 iogs (   gs) : iter =    143 ; delta = 9.870745e-03 ; diff = 1.448279e-04 ; dt =  9903.4 sec ; nmult =    185
 iogs (   gs) : iter =    144 ; delta = 9.870745e-03 ; diff = 1.404730e-04 ; dt =  9957.2 sec ; nmult =    186
 iogs (   gs) : iter =    145 ; delta = 9.870745e-03 ; diff = 1.363143e-04 ; dt = 10011.0 sec ; nmult =    187
 iogs (   gs) : iter =    146 ; delta = 9.870745e-03 ; diff = 1.322322e-04 ; dt = 10064.7 sec ; nmult =    188
 iogs (   gs) : iter =    147 ; delta = 9.870745e-03 ; diff = 1.283293e-04 ; dt = 10118.6 sec ; nmult =    189
 iogs (   gs) : iter =    148 ; delta = 9.870745e-03 ; diff = 1.245012e-04 ; dt = 10172.2 sec ; nmult =    190
 iogs (   gs) : iter =    149 ; delta = 9.870745e-03 ; diff = 1.208460e-04 ; dt = 10225.9 sec ; nmult =    191
 iogs (   gs) : iter =    150 ; delta = 9.870745e-03 ; diff = 1.172656e-04 ; dt = 10279.5 sec ; nmult =    192
 iogs (   gs) : iter =    151 ; delta = 9.870745e-03 ; diff = 1.138388e-04 ; dt = 10333.1 sec ; nmult =    193
 iogs (   gs) : iter =    152 ; delta = 9.870745e-03 ; diff = 1.104793e-04 ; dt = 10386.7 sec ; nmult =    194
 iogs (   gs) : iter =    153 ; delta = 9.870745e-03 ; diff = 1.072604e-04 ; dt = 10440.4 sec ; nmult =    195
 iogs (   gs) : iter =    154 ; delta = 9.870745e-03 ; diff = 1.041082e-04 ; dt = 10494.0 sec ; nmult =    196
 iogs (   gs) : iter =    155 ; delta = 9.870745e-03 ; diff = 1.010877e-04 ; dt = 10547.7 sec ; nmult =    197
 iogs (   gs) : iter =    156 ; delta = 9.870745e-03 ; diff = 9.812829e-05 ; dt = 10601.3 sec ; nmult =    198
 iogs (   gs) : iter =    157 ; delta = 9.870745e-03 ; diff = 9.529043e-05 ; dt = 10655.0 sec ; nmult =    199
 iogs (   gs) : iter =    158 ; delta = 9.870745e-03 ; diff = 9.251231e-05 ; dt = 10708.5 sec ; nmult =    200
 iogs (   gs) : iter =    159 ; delta = 9.870745e-03 ; diff = 8.984635e-05 ; dt = 10762.1 sec ; nmult =    201
 iogs (   gs) : iter =    160 ; delta = 9.870745e-03 ; diff = 8.723807e-05 ; dt = 10815.8 sec ; nmult =    202
 iogs (   gs) : iter =    161 ; delta = 9.870745e-03 ; diff = 8.473475e-05 ; dt = 10869.3 sec ; nmult =    203
 iogs (   gs) : iter =    162 ; delta = 9.870745e-03 ; diff = 8.228502e-05 ; dt = 10922.9 sec ; nmult =    204
 iogs (   gs) : iter =    163 ; delta = 9.870745e-03 ; diff = 7.993253e-05 ; dt = 10976.4 sec ; nmult =    205
 iogs (   gs) : iter =    164 ; delta = 9.870745e-03 ; diff = 7.763149e-05 ; dt = 11029.9 sec ; nmult =    206
 iogs (   gs) : iter =    165 ; delta = 9.870745e-03 ; diff = 7.541874e-05 ; dt = 11083.4 sec ; nmult =    207
 iogs (   gs) : iter =    166 ; delta = 9.870745e-03 ; diff = 7.325565e-05 ; dt = 11136.8 sec ; nmult =    208
 iogs (   gs) : iter =    167 ; delta = 9.870745e-03 ; diff = 7.117564e-05 ; dt = 11190.4 sec ; nmult =    209
 iogs (   gs) : iter =    168 ; delta = 9.870745e-03 ; diff = 6.914424e-05 ; dt = 11244.0 sec ; nmult =    210
 iogs (   gs) : iter =    169 ; delta = 9.870745e-03 ; diff = 6.719129e-05 ; dt = 11297.6 sec ; nmult =    211
 iogs (   gs) : iter =    170 ; delta = 9.870745e-03 ; diff = 6.528369e-05 ; dt = 11351.2 sec ; nmult =    212
 iogs (   gs) : iter =    171 ; delta = 9.870745e-03 ; diff = 6.344633e-05 ; dt = 11404.8 sec ; nmult =    213
 iogs (   gs) : iter =    172 ; delta = 9.870745e-03 ; diff = 6.165127e-05 ; dt = 11458.4 sec ; nmult =    214
 iogs (   gs) : iter =    173 ; delta = 9.870745e-03 ; diff = 5.992302e-05 ; dt = 11512.0 sec ; nmult =    215
 iogs (   gs) : iter =    174 ; delta = 9.870745e-03 ; diff = 5.823465e-05 ; dt = 11565.6 sec ; nmult =    216
 iogs (   gs) : iter =    175 ; delta = 9.870745e-03 ; diff = 5.660840e-05 ; dt = 11623.5 sec ; nmult =    217
 iogs (   gs) : iter =    176 ; delta = 9.870745e-03 ; diff = 5.502315e-05 ; dt = 11677.5 sec ; nmult =    218
 iogs (   gs) : iter =    177 ; delta = 9.870745e-03 ; diff = 5.349757e-05 ; dt = 11731.4 sec ; nmult =    219
 iogs (   gs) : iter =    178 ; delta = 9.870745e-03 ; diff = 5.200927e-05 ; dt = 11785.4 sec ; nmult =    220
 iogs (   gs) : iter =    179 ; delta = 9.870745e-03 ; diff = 5.057218e-05 ; dt = 11839.2 sec ; nmult =    221
 iogs (   gs) : iter =    180 ; delta = 9.870745e-03 ; diff = 4.917684e-05 ; dt = 11893.2 sec ; nmult =    222
 iogs (   gs) : iter =    181 ; delta = 9.870745e-03 ; diff = 4.782181e-05 ; dt = 11947.1 sec ; nmult =    223
 iogs (   gs) : iter =    182 ; delta = 9.870745e-03 ; diff = 4.650754e-05 ; dt = 12001.0 sec ; nmult =    224
 iogs (   gs) : iter =    183 ; delta = 9.870745e-03 ; diff = 4.522982e-05 ; dt = 12054.9 sec ; nmult =    225
 iogs (   gs) : iter =    184 ; delta = 9.870745e-03 ; diff = 4.399027e-05 ; dt = 12109.0 sec ; nmult =    226
 iogs (   gs) : iter =    185 ; delta = 9.870745e-03 ; diff = 4.278621e-05 ; dt = 12162.8 sec ; nmult =    227
 iogs (   gs) : iter =    186 ; delta = 9.870745e-03 ; diff = 4.161717e-05 ; dt = 12216.8 sec ; nmult =    228
 iogs (   gs) : iter =    187 ; delta = 9.870745e-03 ; diff = 4.048146e-05 ; dt = 12270.7 sec ; nmult =    229
 iogs (   gs) : iter =    188 ; delta = 9.870745e-03 ; diff = 3.937898e-05 ; dt = 12324.6 sec ; nmult =    230
 iogs (   gs) : iter =    189 ; delta = 9.870745e-03 ; diff = 3.830820e-05 ; dt = 12378.4 sec ; nmult =    231
 iogs (   gs) : iter =    190 ; delta = 9.870745e-03 ; diff = 3.727008e-05 ; dt = 12432.5 sec ; nmult =    232
 iogs (   gs) : iter =    191 ; delta = 9.870745e-03 ; diff = 3.626279e-05 ; dt = 12486.4 sec ; nmult =    233
 iogs (   gs) : iter =    192 ; delta = 9.870745e-03 ; diff = 3.528415e-05 ; dt = 12540.3 sec ; nmult =    234
 iogs (   gs) : iter =    193 ; delta = 9.870745e-03 ; diff = 3.433442e-05 ; dt = 12594.2 sec ; nmult =    235
 iogs (   gs) : iter =    194 ; delta = 9.870745e-03 ; diff = 3.341169e-05 ; dt = 12648.1 sec ; nmult =    236
 iogs (   gs) : iter =    195 ; delta = 9.870745e-03 ; diff = 3.251516e-05 ; dt = 12701.9 sec ; nmult =    237
 iogs (   gs) : iter =    196 ; delta = 9.870745e-03 ; diff = 3.164398e-05 ; dt = 12755.8 sec ; nmult =    238
 iogs (   gs) : iter =    197 ; delta = 9.870745e-03 ; diff = 3.079818e-05 ; dt = 12809.6 sec ; nmult =    239
 iogs (   gs) : iter =    198 ; delta = 9.870745e-03 ; diff = 2.997625e-05 ; dt = 12863.5 sec ; nmult =    240
