Parameters: 
   graphfile = /var/tmp/dgleich/data/arabic-2005-trans
      output = none
         alg = gs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 22744080
edges = 639999458
gs(0.9900,0,0) with tol=1.000000e-07 and maxit= 10000 iterations
   gs : iter =      1 ; delta = 2.000000e+00 ; diff = 1.674646e+00 ; dt =    13.9 sec ; nmult =      1
   gs : iter =     25 ; delta = 2.000000e+00 ; diff = 1.139211e-02 ; dt =   346.2 sec ; nmult =     25
   gs : iter =     26 ; delta = 2.000000e+00 ; diff = 1.072338e-02 ; dt =   359.9 sec ; nmult =     26
   gs : iter =     27 ; delta = 2.000000e+00 ; diff = 1.010621e-02 ; dt =   373.6 sec ; nmult =     27
   gs : iter =     28 ; delta = 2.000000e+00 ; diff = 9.538953e-03 ; dt =   387.4 sec ; nmult =     28
   gs : iter =     29 ; delta = 2.000000e+00 ; diff = 9.017924e-03 ; dt =   401.2 sec ; nmult =     29
   gs : iter =     30 ; delta = 2.000000e+00 ; diff = 8.534416e-03 ; dt =   415.0 sec ; nmult =     30
   gs : iter =     31 ; delta = 2.000000e+00 ; diff = 8.086682e-03 ; dt =   428.9 sec ; nmult =     31
   gs : iter =     32 ; delta = 2.000000e+00 ; diff = 7.671154e-03 ; dt =   442.8 sec ; nmult =     32
   gs : iter =     33 ; delta = 2.000000e+00 ; diff = 7.283483e-03 ; dt =   456.7 sec ; nmult =     33
   gs : iter =     34 ; delta = 2.000000e+00 ; diff = 6.923093e-03 ; dt =   470.7 sec ; nmult =     34
   gs : iter =     35 ; delta = 2.000000e+00 ; diff = 6.587543e-03 ; dt =   484.4 sec ; nmult =     35
   gs : iter =     36 ; delta = 2.000000e+00 ; diff = 6.271929e-03 ; dt =   498.1 sec ; nmult =     36
   gs : iter =     37 ; delta = 2.000000e+00 ; diff = 5.976608e-03 ; dt =   511.9 sec ; nmult =     37
   gs : iter =     38 ; delta = 2.000000e+00 ; diff = 5.699503e-03 ; dt =   525.7 sec ; nmult =     38
   gs : iter =     39 ; delta = 2.000000e+00 ; diff = 5.437127e-03 ; dt =   539.5 sec ; nmult =     39
   gs : iter =     40 ; delta = 2.000000e+00 ; diff = 5.190141e-03 ; dt =   553.4 sec ; nmult =     40
   gs : iter =     41 ; delta = 2.000000e+00 ; diff = 4.957992e-03 ; dt =   567.2 sec ; nmult =     41
   gs : iter =     42 ; delta = 2.000000e+00 ; diff = 4.738233e-03 ; dt =   581.1 sec ; nmult =     42
   gs : iter =     43 ; delta = 2.000000e+00 ; diff = 4.530728e-03 ; dt =   595.1 sec ; nmult =     43
   gs : iter =     44 ; delta = 2.000000e+00 ; diff = 4.335005e-03 ; dt =   608.8 sec ; nmult =     44
   gs : iter =     45 ; delta = 2.000000e+00 ; diff = 4.148707e-03 ; dt =   622.6 sec ; nmult =     45
   gs : iter =     46 ; delta = 2.000000e+00 ; diff = 3.972701e-03 ; dt =   636.4 sec ; nmult =     46
   gs : iter =     47 ; delta = 2.000000e+00 ; diff = 3.806475e-03 ; dt =   650.1 sec ; nmult =     47
   gs : iter =     48 ; delta = 2.000000e+00 ; diff = 3.648414e-03 ; dt =   663.9 sec ; nmult =     48
   gs : iter =     49 ; delta = 2.000000e+00 ; diff = 3.498505e-03 ; dt =   677.8 sec ; nmult =     49
   gs : iter =     50 ; delta = 2.000000e+00 ; diff = 3.356425e-03 ; dt =   691.7 sec ; nmult =     50
   gs : iter =     51 ; delta = 2.000000e+00 ; diff = 3.220585e-03 ; dt =   705.6 sec ; nmult =     51
   gs : iter =     52 ; delta = 2.000000e+00 ; diff = 3.091965e-03 ; dt =   719.5 sec ; nmult =     52
   gs : iter =     53 ; delta = 2.000000e+00 ; diff = 2.970386e-03 ; dt =   733.3 sec ; nmult =     53
   gs : iter =     54 ; delta = 2.000000e+00 ; diff = 2.854368e-03 ; dt =   747.0 sec ; nmult =     54
   gs : iter =     55 ; delta = 2.000000e+00 ; diff = 2.744149e-03 ; dt =   760.8 sec ; nmult =     55
   gs : iter =     56 ; delta = 2.000000e+00 ; diff = 2.639508e-03 ; dt =   774.6 sec ; nmult =     56
   gs : iter =     57 ; delta = 2.000000e+00 ; diff = 2.538873e-03 ; dt =   788.3 sec ; nmult =     57
   gs : iter =     58 ; delta = 2.000000e+00 ; diff = 2.443072e-03 ; dt =   802.2 sec ; nmult =     58
   gs : iter =     59 ; delta = 2.000000e+00 ; diff = 2.351794e-03 ; dt =   816.1 sec ; nmult =     59
   gs : iter =     60 ; delta = 2.000000e+00 ; diff = 2.264090e-03 ; dt =   830.0 sec ; nmult =     60
   gs : iter =     61 ; delta = 2.000000e+00 ; diff = 2.180544e-03 ; dt =   843.9 sec ; nmult =     61
   gs : iter =     62 ; delta = 2.000000e+00 ; diff = 2.101062e-03 ; dt =   857.8 sec ; nmult =     62
   gs : iter =     63 ; delta = 2.000000e+00 ; diff = 2.024445e-03 ; dt =   871.5 sec ; nmult =     63
   gs : iter =     64 ; delta = 2.000000e+00 ; diff = 1.951434e-03 ; dt =   885.2 sec ; nmult =     64
   gs : iter =     65 ; delta = 2.000000e+00 ; diff = 1.881535e-03 ; dt =   899.0 sec ; nmult =     65
   gs : iter =     66 ; delta = 2.000000e+00 ; diff = 1.814288e-03 ; dt =   912.9 sec ; nmult =     66
   gs : iter =     67 ; delta = 2.000000e+00 ; diff = 1.750005e-03 ; dt =   926.7 sec ; nmult =     67
   gs : iter =     68 ; delta = 2.000000e+00 ; diff = 1.688758e-03 ; dt =   940.6 sec ; nmult =     68
   gs : iter =     69 ; delta = 2.000000e+00 ; diff = 1.629693e-03 ; dt =   954.4 sec ; nmult =     69
   gs : iter =     70 ; delta = 2.000000e+00 ; diff = 1.573266e-03 ; dt =   968.3 sec ; nmult =     70
   gs : iter =     71 ; delta = 2.000000e+00 ; diff = 1.519204e-03 ; dt =   982.8 sec ; nmult =     71
   gs : iter =     72 ; delta = 2.000000e+00 ; diff = 1.466996e-03 ; dt =   996.8 sec ; nmult =     72
   gs : iter =     73 ; delta = 2.000000e+00 ; diff = 1.416865e-03 ; dt =  1010.6 sec ; nmult =     73
   gs : iter =     74 ; delta = 2.000000e+00 ; diff = 1.369052e-03 ; dt =  1024.5 sec ; nmult =     74
   gs : iter =     75 ; delta = 2.000000e+00 ; diff = 1.322557e-03 ; dt =  1038.4 sec ; nmult =     75
   gs : iter =     76 ; delta = 2.000000e+00 ; diff = 1.278111e-03 ; dt =  1052.3 sec ; nmult =     76
   gs : iter =     77 ; delta = 2.000000e+00 ; diff = 1.235393e-03 ; dt =  1066.1 sec ; nmult =     77
   gs : iter =     78 ; delta = 2.000000e+00 ; diff = 1.194025e-03 ; dt =  1080.0 sec ; nmult =     78
   gs : iter =     79 ; delta = 2.000000e+00 ; diff = 1.154222e-03 ; dt =  1093.8 sec ; nmult =     79
   gs : iter =     80 ; delta = 2.000000e+00 ; diff = 1.116125e-03 ; dt =  1107.6 sec ; nmult =     80
   gs : iter =     81 ; delta = 2.000000e+00 ; diff = 1.079015e-03 ; dt =  1121.5 sec ; nmult =     81
   gs : iter =     82 ; delta = 2.000000e+00 ; diff = 1.043579e-03 ; dt =  1135.4 sec ; nmult =     82
   gs : iter =     83 ; delta = 2.000000e+00 ; diff = 1.009418e-03 ; dt =  1149.2 sec ; nmult =     83
   gs : iter =     84 ; delta = 2.000000e+00 ; diff = 9.763566e-04 ; dt =  1163.1 sec ; nmult =     84
   gs : iter =     85 ; delta = 2.000000e+00 ; diff = 9.445493e-04 ; dt =  1177.0 sec ; nmult =     85
   gs : iter =     86 ; delta = 2.000000e+00 ; diff = 9.141692e-04 ; dt =  1190.8 sec ; nmult =     86
   gs : iter =     87 ; delta = 2.000000e+00 ; diff = 8.845395e-04 ; dt =  1204.7 sec ; nmult =     87
   gs : iter =     88 ; delta = 2.000000e+00 ; diff = 8.562562e-04 ; dt =  1218.5 sec ; nmult =     88
   gs : iter =     89 ; delta = 2.000000e+00 ; diff = 8.290037e-04 ; dt =  1232.4 sec ; nmult =     89
   gs : iter =     90 ; delta = 2.000000e+00 ; diff = 8.025471e-04 ; dt =  1246.2 sec ; nmult =     90
   gs : iter =     91 ; delta = 2.000000e+00 ; diff = 7.771123e-04 ; dt =  1260.1 sec ; nmult =     91
   gs : iter =     92 ; delta = 2.000000e+00 ; diff = 7.528110e-04 ; dt =  1273.9 sec ; nmult =     92
   gs : iter =     93 ; delta = 2.000000e+00 ; diff = 7.290016e-04 ; dt =  1287.8 sec ; nmult =     93
   gs : iter =     94 ; delta = 2.000000e+00 ; diff = 7.062747e-04 ; dt =  1301.7 sec ; nmult =     94
   gs : iter =     95 ; delta = 2.000000e+00 ; diff = 6.843003e-04 ; dt =  1315.5 sec ; nmult =     95
   gs : iter =     96 ; delta = 2.000000e+00 ; diff = 6.629680e-04 ; dt =  1329.4 sec ; nmult =     96
   gs : iter =     97 ; delta = 2.000000e+00 ; diff = 6.423933e-04 ; dt =  1343.3 sec ; nmult =     97
   gs : iter =     98 ; delta = 2.000000e+00 ; diff = 6.227007e-04 ; dt =  1357.2 sec ; nmult =     98
   gs : iter =     99 ; delta = 2.000000e+00 ; diff = 6.033750e-04 ; dt =  1371.0 sec ; nmult =     99
   gs : iter =    100 ; delta = 2.000000e+00 ; diff = 5.848947e-04 ; dt =  1384.9 sec ; nmult =    100
   gs : iter =    101 ; delta = 2.000000e+00 ; diff = 5.670684e-04 ; dt =  1398.8 sec ; nmult =    101
   gs : iter =    102 ; delta = 2.000000e+00 ; diff = 5.497338e-04 ; dt =  1412.6 sec ; nmult =    102
   gs : iter =    103 ; delta = 2.000000e+00 ; diff = 5.330078e-04 ; dt =  1426.5 sec ; nmult =    103
   gs : iter =    104 ; delta = 2.000000e+00 ; diff = 5.170582e-04 ; dt =  1440.3 sec ; nmult =    104
   gs : iter =    105 ; delta = 2.000000e+00 ; diff = 5.013940e-04 ; dt =  1454.1 sec ; nmult =    105
   gs : iter =    106 ; delta = 2.000000e+00 ; diff = 4.864446e-04 ; dt =  1468.0 sec ; nmult =    106
   gs : iter =    107 ; delta = 2.000000e+00 ; diff = 4.719890e-04 ; dt =  1481.9 sec ; nmult =    107
   gs : iter =    108 ; delta = 2.000000e+00 ; diff = 4.579282e-04 ; dt =  1495.7 sec ; nmult =    108
   gs : iter =    109 ; delta = 2.000000e+00 ; diff = 4.443444e-04 ; dt =  1509.6 sec ; nmult =    109
   gs : iter =    110 ; delta = 2.000000e+00 ; diff = 4.313478e-04 ; dt =  1523.5 sec ; nmult =    110
   gs : iter =    111 ; delta = 2.000000e+00 ; diff = 4.185487e-04 ; dt =  1537.3 sec ; nmult =    111
   gs : iter =    112 ; delta = 2.000000e+00 ; diff = 4.063375e-04 ; dt =  1551.2 sec ; nmult =    112
   gs : iter =    113 ; delta = 2.000000e+00 ; diff = 3.944848e-04 ; dt =  1565.1 sec ; nmult =    113
   gs : iter =    114 ; delta = 2.000000e+00 ; diff = 3.829475e-04 ; dt =  1578.9 sec ; nmult =    114
   gs : iter =    115 ; delta = 2.000000e+00 ; diff = 3.717806e-04 ; dt =  1592.8 sec ; nmult =    115
   gs : iter =    116 ; delta = 2.000000e+00 ; diff = 3.610990e-04 ; dt =  1606.6 sec ; nmult =    116
   gs : iter =    117 ; delta = 2.000000e+00 ; diff = 3.505498e-04 ; dt =  1620.5 sec ; nmult =    117
   gs : iter =    118 ; delta = 2.000000e+00 ; diff = 3.404913e-04 ; dt =  1634.4 sec ; nmult =    118
   gs : iter =    119 ; delta = 2.000000e+00 ; diff = 3.307309e-04 ; dt =  1648.2 sec ; nmult =    119
   gs : iter =    120 ; delta = 2.000000e+00 ; diff = 3.212088e-04 ; dt =  1662.0 sec ; nmult =    120
   gs : iter =    121 ; delta = 2.000000e+00 ; diff = 3.120179e-04 ; dt =  1676.0 sec ; nmult =    121
   gs : iter =    122 ; delta = 2.000000e+00 ; diff = 3.032187e-04 ; dt =  1689.8 sec ; nmult =    122
   gs : iter =    123 ; delta = 2.000000e+00 ; diff = 2.944929e-04 ; dt =  1703.6 sec ; nmult =    123
   gs : iter =    124 ; delta = 2.000000e+00 ; diff = 2.861931e-04 ; dt =  1717.5 sec ; nmult =    124
   gs : iter =    125 ; delta = 2.000000e+00 ; diff = 2.781183e-04 ; dt =  1731.5 sec ; nmult =    125
   gs : iter =    126 ; delta = 2.000000e+00 ; diff = 2.702446e-04 ; dt =  1745.3 sec ; nmult =    126
   gs : iter =    127 ; delta = 2.000000e+00 ; diff = 2.626250e-04 ; dt =  1759.2 sec ; nmult =    127
   gs : iter =    128 ; delta = 2.000000e+00 ; diff = 2.553395e-04 ; dt =  1773.1 sec ; nmult =    128
   gs : iter =    129 ; delta = 2.000000e+00 ; diff = 2.481169e-04 ; dt =  1786.9 sec ; nmult =    129
   gs : iter =    130 ; delta = 2.000000e+00 ; diff = 2.412343e-04 ; dt =  1800.8 sec ; nmult =    130
   gs : iter =    131 ; delta = 2.000000e+00 ; diff = 2.345460e-04 ; dt =  1814.6 sec ; nmult =    131
   gs : iter =    132 ; delta = 2.000000e+00 ; diff = 2.280144e-04 ; dt =  1828.5 sec ; nmult =    132
   gs : iter =    133 ; delta = 2.000000e+00 ; diff = 2.216788e-04 ; dt =  1842.3 sec ; nmult =    133
   gs : iter =    134 ; delta = 2.000000e+00 ; diff = 2.156257e-04 ; dt =  1856.2 sec ; nmult =    134
   gs : iter =    135 ; delta = 2.000000e+00 ; diff = 2.095883e-04 ; dt =  1870.1 sec ; nmult =    135
   gs : iter =    136 ; delta = 2.000000e+00 ; diff = 2.038497e-04 ; dt =  1883.9 sec ; nmult =    136
   gs : iter =    137 ; delta = 2.000000e+00 ; diff = 1.982610e-04 ; dt =  1897.8 sec ; nmult =    137
   gs : iter =    138 ; delta = 2.000000e+00 ; diff = 1.927958e-04 ; dt =  1911.7 sec ; nmult =    138
   gs : iter =    139 ; delta = 2.000000e+00 ; diff = 1.874960e-04 ; dt =  1925.5 sec ; nmult =    139
   gs : iter =    140 ; delta = 2.000000e+00 ; diff = 1.824282e-04 ; dt =  1939.3 sec ; nmult =    140
   gs : iter =    141 ; delta = 2.000000e+00 ; diff = 1.773729e-04 ; dt =  1953.3 sec ; nmult =    141
   gs : iter =    142 ; delta = 2.000000e+00 ; diff = 1.725763e-04 ; dt =  1967.1 sec ; nmult =    142
   gs : iter =    143 ; delta = 2.000000e+00 ; diff = 1.678861e-04 ; dt =  1980.9 sec ; nmult =    143
   gs : iter =    144 ; delta = 2.000000e+00 ; diff = 1.633060e-04 ; dt =  1994.8 sec ; nmult =    144
   gs : iter =    145 ; delta = 2.000000e+00 ; diff = 1.588634e-04 ; dt =  2008.6 sec ; nmult =    145
   gs : iter =    146 ; delta = 2.000000e+00 ; diff = 1.546194e-04 ; dt =  2022.5 sec ; nmult =    146
   gs : iter =    147 ; delta = 2.000000e+00 ; diff = 1.503732e-04 ; dt =  2036.4 sec ; nmult =    147
   gs : iter =    148 ; delta = 2.000000e+00 ; diff = 1.463526e-04 ; dt =  2050.2 sec ; nmult =    148
   gs : iter =    149 ; delta = 2.000000e+00 ; diff = 1.424240e-04 ; dt =  2064.1 sec ; nmult =    149
   gs : iter =    150 ; delta = 2.000000e+00 ; diff = 1.385752e-04 ; dt =  2078.1 sec ; nmult =    150
   gs : iter =    151 ; delta = 2.000000e+00 ; diff = 1.348451e-04 ; dt =  2091.9 sec ; nmult =    151
   gs : iter =    152 ; delta = 2.000000e+00 ; diff = 1.312863e-04 ; dt =  2105.8 sec ; nmult =    152
   gs : iter =    153 ; delta = 2.000000e+00 ; diff = 1.277123e-04 ; dt =  2119.7 sec ; nmult =    153
   gs : iter =    154 ; delta = 2.000000e+00 ; diff = 1.243338e-04 ; dt =  2133.6 sec ; nmult =    154
   gs : iter =    155 ; delta = 2.000000e+00 ; diff = 1.210179e-04 ; dt =  2147.4 sec ; nmult =    155
   gs : iter =    156 ; delta = 2.000000e+00 ; diff = 1.177780e-04 ; dt =  2161.3 sec ; nmult =    156
   gs : iter =    157 ; delta = 2.000000e+00 ; diff = 1.146379e-04 ; dt =  2175.2 sec ; nmult =    157
   gs : iter =    158 ; delta = 2.000000e+00 ; diff = 1.116429e-04 ; dt =  2189.0 sec ; nmult =    158
   gs : iter =    159 ; delta = 2.000000e+00 ; diff = 1.086317e-04 ; dt =  2202.9 sec ; nmult =    159
   gs : iter =    160 ; delta = 2.000000e+00 ; diff = 1.057903e-04 ; dt =  2216.7 sec ; nmult =    160
   gs : iter =    161 ; delta = 2.000000e+00 ; diff = 1.030078e-04 ; dt =  2230.6 sec ; nmult =    161
   gs : iter =    162 ; delta = 2.000000e+00 ; diff = 1.002811e-04 ; dt =  2244.5 sec ; nmult =    162
   gs : iter =    163 ; delta = 2.000000e+00 ; diff = 9.762907e-05 ; dt =  2258.3 sec ; nmult =    163
   gs : iter =    164 ; delta = 2.000000e+00 ; diff = 9.510914e-05 ; dt =  2272.2 sec ; nmult =    164
   gs : iter =    165 ; delta = 2.000000e+00 ; diff = 9.256550e-05 ; dt =  2286.0 sec ; nmult =    165
   gs : iter =    166 ; delta = 2.000000e+00 ; diff = 9.017165e-05 ; dt =  2299.9 sec ; nmult =    166
   gs : iter =    167 ; delta = 2.000000e+00 ; diff = 8.782046e-05 ; dt =  2313.7 sec ; nmult =    167
   gs : iter =    168 ; delta = 2.000000e+00 ; diff = 8.551979e-05 ; dt =  2327.6 sec ; nmult =    168
   gs : iter =    169 ; delta = 2.000000e+00 ; diff = 8.328673e-05 ; dt =  2341.5 sec ; nmult =    169
   gs : iter =    170 ; delta = 2.000000e+00 ; diff = 8.115933e-05 ; dt =  2355.3 sec ; nmult =    170
   gs : iter =    171 ; delta = 2.000000e+00 ; diff = 7.900522e-05 ; dt =  2369.2 sec ; nmult =    171
   gs : iter =    172 ; delta = 2.000000e+00 ; diff = 7.698494e-05 ; dt =  2383.0 sec ; nmult =    172
   gs : iter =    173 ; delta = 2.000000e+00 ; diff = 7.499406e-05 ; dt =  2396.9 sec ; nmult =    173
   gs : iter =    174 ; delta = 2.000000e+00 ; diff = 7.304429e-05 ; dt =  2410.8 sec ; nmult =    174
   gs : iter =    175 ; delta = 2.000000e+00 ; diff = 7.114753e-05 ; dt =  2424.8 sec ; nmult =    175
   gs : iter =    176 ; delta = 2.000000e+00 ; diff = 6.934611e-05 ; dt =  2438.6 sec ; nmult =    176
   gs : iter =    177 ; delta = 2.000000e+00 ; diff = 6.751821e-05 ; dt =  2452.4 sec ; nmult =    177
   gs : iter =    178 ; delta = 2.000000e+00 ; diff = 6.580498e-05 ; dt =  2466.3 sec ; nmult =    178
   gs : iter =    179 ; delta = 2.000000e+00 ; diff = 6.411443e-05 ; dt =  2480.2 sec ; nmult =    179
   gs : iter =    180 ; delta = 2.000000e+00 ; diff = 6.245794e-05 ; dt =  2494.0 sec ; nmult =    180
   gs : iter =    181 ; delta = 2.000000e+00 ; diff = 6.085151e-05 ; dt =  2507.8 sec ; nmult =    181
   gs : iter =    182 ; delta = 2.000000e+00 ; diff = 5.932558e-05 ; dt =  2521.7 sec ; nmult =    182
   gs : iter =    183 ; delta = 2.000000e+00 ; diff = 5.776735e-05 ; dt =  2535.5 sec ; nmult =    183
   gs : iter =    184 ; delta = 2.000000e+00 ; diff = 5.631526e-05 ; dt =  2549.4 sec ; nmult =    184
   gs : iter =    185 ; delta = 2.000000e+00 ; diff = 5.487980e-05 ; dt =  2563.3 sec ; nmult =    185
   gs : iter =    186 ; delta = 2.000000e+00 ; diff = 5.347300e-05 ; dt =  2577.1 sec ; nmult =    186
   gs : iter =    187 ; delta = 2.000000e+00 ; diff = 5.210525e-05 ; dt =  2591.0 sec ; nmult =    187
   gs : iter =    188 ; delta = 2.000000e+00 ; diff = 5.080966e-05 ; dt =  2604.9 sec ; nmult =    188
   gs : iter =    189 ; delta = 2.000000e+00 ; diff = 4.948605e-05 ; dt =  2618.7 sec ; nmult =    189
   gs : iter =    190 ; delta = 2.000000e+00 ; diff = 4.825208e-05 ; dt =  2632.6 sec ; nmult =    190
   gs : iter =    191 ; delta = 2.000000e+00 ; diff = 4.703071e-05 ; dt =  2646.4 sec ; nmult =    191
   gs : iter =    192 ; delta = 2.000000e+00 ; diff = 4.583590e-05 ; dt =  2660.2 sec ; nmult =    192
   gs : iter =    193 ; delta = 2.000000e+00 ; diff = 4.467448e-05 ; dt =  2674.1 sec ; nmult =    193
   gs : iter =    194 ; delta = 2.000000e+00 ; diff = 4.357587e-05 ; dt =  2688.0 sec ; nmult =    194
   gs : iter =    195 ; delta = 2.000000e+00 ; diff = 4.244564e-05 ; dt =  2701.8 sec ; nmult =    195
   gs : iter =    196 ; delta = 2.000000e+00 ; diff = 4.139849e-05 ; dt =  2715.7 sec ; nmult =    196
   gs : iter =    197 ; delta = 2.000000e+00 ; diff = 4.036084e-05 ; dt =  2729.5 sec ; nmult =    197
   gs : iter =    198 ; delta = 2.000000e+00 ; diff = 3.934218e-05 ; dt =  2743.3 sec ; nmult =    198
   gs : iter =    199 ; delta = 2.000000e+00 ; diff = 3.835084e-05 ; dt =  2757.2 sec ; nmult =    199
   gs : iter =    200 ; delta = 2.000000e+00 ; diff = 3.741493e-05 ; dt =  2771.2 sec ; nmult =    200
   gs : iter =    201 ; delta = 2.000000e+00 ; diff = 3.645086e-05 ; dt =  2785.0 sec ; nmult =    201
   gs : iter =    202 ; delta = 2.000000e+00 ; diff = 3.555959e-05 ; dt =  2798.9 sec ; nmult =    202
   gs : iter =    203 ; delta = 2.000000e+00 ; diff = 3.467101e-05 ; dt =  2812.7 sec ; nmult =    203
   gs : iter =    204 ; delta = 2.000000e+00 ; diff = 3.380161e-05 ; dt =  2826.6 sec ; nmult =    204
   gs : iter =    205 ; delta = 2.000000e+00 ; diff = 3.295661e-05 ; dt =  2840.4 sec ; nmult =    205
   gs : iter =    206 ; delta = 2.000000e+00 ; diff = 3.215880e-05 ; dt =  2854.3 sec ; nmult =    206
   gs : iter =    207 ; delta = 2.000000e+00 ; diff = 3.133218e-05 ; dt =  2868.2 sec ; nmult =    207
   gs : iter =    208 ; delta = 2.000000e+00 ; diff = 3.057180e-05 ; dt =  2882.0 sec ; nmult =    208
   gs : iter =    209 ; delta = 2.000000e+00 ; diff = 2.981449e-05 ; dt =  2895.9 sec ; nmult =    209
   gs : iter =    210 ; delta = 2.000000e+00 ; diff = 2.906994e-05 ; dt =  2909.7 sec ; nmult =    210
   gs : iter =    211 ; delta = 2.000000e+00 ; diff = 2.834580e-05 ; dt =  2923.6 sec ; nmult =    211
   gs : iter =    212 ; delta = 2.000000e+00 ; diff = 2.766516e-05 ; dt =  2937.5 sec ; nmult =    212
   gs : iter =    213 ; delta = 2.000000e+00 ; diff = 2.695692e-05 ; dt =  2951.3 sec ; nmult =    213
   gs : iter =    214 ; delta = 2.000000e+00 ; diff = 2.630766e-05 ; dt =  2965.2 sec ; nmult =    214
   gs : iter =    215 ; delta = 2.000000e+00 ; diff = 2.565765e-05 ; dt =  2979.0 sec ; nmult =    215
   gs : iter =    216 ; delta = 2.000000e+00 ; diff = 2.502111e-05 ; dt =  2992.9 sec ; nmult =    216
   gs : iter =    217 ; delta = 2.000000e+00 ; diff = 2.440291e-05 ; dt =  3006.7 sec ; nmult =    217
   gs : iter =    218 ; delta = 2.000000e+00 ; diff = 2.382106e-05 ; dt =  3020.6 sec ; nmult =    218
   gs : iter =    219 ; delta = 2.000000e+00 ; diff = 2.321257e-05 ; dt =  3034.4 sec ; nmult =    219
   gs : iter =    220 ; delta = 2.000000e+00 ; diff = 2.265782e-05 ; dt =  3048.3 sec ; nmult =    220
   gs : iter =    221 ; delta = 2.000000e+00 ; diff = 2.210340e-05 ; dt =  3062.1 sec ; nmult =    221
   gs : iter =    222 ; delta = 2.000000e+00 ; diff = 2.155840e-05 ; dt =  3076.0 sec ; nmult =    222
   gs : iter =    223 ; delta = 2.000000e+00 ; diff = 2.102704e-05 ; dt =  3089.8 sec ; nmult =    223
   gs : iter =    224 ; delta = 2.000000e+00 ; diff = 2.053052e-05 ; dt =  3103.7 sec ; nmult =    224
   gs : iter =    225 ; delta = 2.000000e+00 ; diff = 2.000910e-05 ; dt =  3117.6 sec ; nmult =    225
   gs : iter =    226 ; delta = 2.000000e+00 ; diff = 1.953477e-05 ; dt =  3131.5 sec ; nmult =    226
   gs : iter =    227 ; delta = 2.000000e+00 ; diff = 1.905778e-05 ; dt =  3145.3 sec ; nmult =    227
   gs : iter =    228 ; delta = 2.000000e+00 ; diff = 1.859011e-05 ; dt =  3159.2 sec ; nmult =    228
   gs : iter =    229 ; delta = 2.000000e+00 ; diff = 1.813582e-05 ; dt =  3173.1 sec ; nmult =    229
