Parameters: 
   graphfile = /var/tmp/dgleich/data/sk-2005-trans
      output = none
         alg = gs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 50636154
edges = 1949412601
gs(0.9900,0,0) with tol=1.000000e-07 and maxit= 10000 iterations
   gs : iter =      1 ; delta = 2.000000e+00 ; diff = 1.765338e+00 ; dt =    52.4 sec ; nmult =      1
   gs : iter =     93 ; delta = 2.000000e+00 ; diff = 7.225695e-04 ; dt =  4817.1 sec ; nmult =     93
   gs : iter =     94 ; delta = 2.000000e+00 ; diff = 6.930372e-04 ; dt =  4868.5 sec ; nmult =     94
   gs : iter =     95 ; delta = 2.000000e+00 ; diff = 6.748590e-04 ; dt =  4920.2 sec ; nmult =     95
   gs : iter =     96 ; delta = 2.000000e+00 ; diff = 6.472374e-04 ; dt =  4971.8 sec ; nmult =     96
   gs : iter =     97 ; delta = 2.000000e+00 ; diff = 6.305853e-04 ; dt =  5023.4 sec ; nmult =     97
   gs : iter =     98 ; delta = 2.000000e+00 ; diff = 6.047197e-04 ; dt =  5074.8 sec ; nmult =     98
   gs : iter =     99 ; delta = 2.000000e+00 ; diff = 5.894992e-04 ; dt =  5126.5 sec ; nmult =     99
   gs : iter =    100 ; delta = 2.000000e+00 ; diff = 5.653109e-04 ; dt =  5178.0 sec ; nmult =    100
   gs : iter =    101 ; delta = 2.000000e+00 ; diff = 5.513735e-04 ; dt =  5229.7 sec ; nmult =    101
   gs : iter =    102 ; delta = 2.000000e+00 ; diff = 5.287008e-04 ; dt =  5281.2 sec ; nmult =    102
   gs : iter =    103 ; delta = 2.000000e+00 ; diff = 5.159401e-04 ; dt =  5332.9 sec ; nmult =    103
   gs : iter =    104 ; delta = 2.000000e+00 ; diff = 4.946919e-04 ; dt =  5384.4 sec ; nmult =    104
   gs : iter =    105 ; delta = 2.000000e+00 ; diff = 4.830148e-04 ; dt =  5436.0 sec ; nmult =    105
   gs : iter =    106 ; delta = 2.000000e+00 ; diff = 4.630906e-04 ; dt =  5487.6 sec ; nmult =    106
   gs : iter =    107 ; delta = 2.000000e+00 ; diff = 4.523915e-04 ; dt =  5539.2 sec ; nmult =    107
   gs : iter =    108 ; delta = 2.000000e+00 ; diff = 4.336846e-04 ; dt =  5590.7 sec ; nmult =    108
   gs : iter =    109 ; delta = 2.000000e+00 ; diff = 4.238712e-04 ; dt =  5642.3 sec ; nmult =    109
   gs : iter =    110 ; delta = 2.000000e+00 ; diff = 4.063067e-04 ; dt =  5693.9 sec ; nmult =    110
   gs : iter =    111 ; delta = 2.000000e+00 ; diff = 3.973182e-04 ; dt =  5745.3 sec ; nmult =    111
   gs : iter =    112 ; delta = 2.000000e+00 ; diff = 3.808144e-04 ; dt =  5796.9 sec ; nmult =    112
   gs : iter =    113 ; delta = 2.000000e+00 ; diff = 3.725649e-04 ; dt =  5848.3 sec ; nmult =    113
   gs : iter =    114 ; delta = 2.000000e+00 ; diff = 3.570588e-04 ; dt =  5899.9 sec ; nmult =    114
   gs : iter =    115 ; delta = 2.000000e+00 ; diff = 3.495085e-04 ; dt =  5951.5 sec ; nmult =    115
   gs : iter =    116 ; delta = 2.000000e+00 ; diff = 3.349293e-04 ; dt =  6003.0 sec ; nmult =    116
   gs : iter =    117 ; delta = 2.000000e+00 ; diff = 3.280127e-04 ; dt =  6054.6 sec ; nmult =    117
   gs : iter =    118 ; delta = 2.000000e+00 ; diff = 3.143090e-04 ; dt =  6106.2 sec ; nmult =    118
   gs : iter =    119 ; delta = 2.000000e+00 ; diff = 3.079818e-04 ; dt =  6157.6 sec ; nmult =    119
   gs : iter =    120 ; delta = 2.000000e+00 ; diff = 2.951253e-04 ; dt =  6209.2 sec ; nmult =    120
   gs : iter =    121 ; delta = 2.000000e+00 ; diff = 2.893503e-04 ; dt =  6260.6 sec ; nmult =    121
   gs : iter =    122 ; delta = 2.000000e+00 ; diff = 2.772447e-04 ; dt =  6312.3 sec ; nmult =    122
   gs : iter =    123 ; delta = 2.000000e+00 ; diff = 2.719430e-04 ; dt =  6363.7 sec ; nmult =    123
   gs : iter =    124 ; delta = 2.000000e+00 ; diff = 2.605369e-04 ; dt =  6415.2 sec ; nmult =    124
   gs : iter =    125 ; delta = 2.000000e+00 ; diff = 2.556615e-04 ; dt =  6466.6 sec ; nmult =    125
   gs : iter =    126 ; delta = 2.000000e+00 ; diff = 2.449024e-04 ; dt =  6518.3 sec ; nmult =    126
   gs : iter =    127 ; delta = 2.000000e+00 ; diff = 2.404235e-04 ; dt =  6569.7 sec ; nmult =    127
   gs : iter =    128 ; delta = 2.000000e+00 ; diff = 2.302735e-04 ; dt =  6621.5 sec ; nmult =    128
   gs : iter =    129 ; delta = 2.000000e+00 ; diff = 2.261559e-04 ; dt =  6673.0 sec ; nmult =    129
   gs : iter =    130 ; delta = 2.000000e+00 ; diff = 2.165927e-04 ; dt =  6724.6 sec ; nmult =    130
   gs : iter =    131 ; delta = 2.000000e+00 ; diff = 2.128742e-04 ; dt =  6776.1 sec ; nmult =    131
   gs : iter =    132 ; delta = 2.000000e+00 ; diff = 2.040619e-04 ; dt =  6828.3 sec ; nmult =    132
   gs : iter =    133 ; delta = 2.000000e+00 ; diff = 2.004514e-04 ; dt =  6879.8 sec ; nmult =    133
   gs : iter =    134 ; delta = 2.000000e+00 ; diff = 1.923269e-04 ; dt =  6931.5 sec ; nmult =    134
   gs : iter =    135 ; delta = 2.000000e+00 ; diff = 1.888046e-04 ; dt =  6983.2 sec ; nmult =    135
   gs : iter =    136 ; delta = 2.000000e+00 ; diff = 1.813142e-04 ; dt =  7034.7 sec ; nmult =    136
   gs : iter =    137 ; delta = 2.000000e+00 ; diff = 1.778967e-04 ; dt =  7086.3 sec ; nmult =    137
   gs : iter =    138 ; delta = 2.000000e+00 ; diff = 1.709870e-04 ; dt =  7137.6 sec ; nmult =    138
   gs : iter =    139 ; delta = 2.000000e+00 ; diff = 1.676861e-04 ; dt =  7189.3 sec ; nmult =    139
   gs : iter =    140 ; delta = 2.000000e+00 ; diff = 1.613007e-04 ; dt =  7240.8 sec ; nmult =    140
   gs : iter =    141 ; delta = 2.000000e+00 ; diff = 1.581034e-04 ; dt =  7292.4 sec ; nmult =    141
   gs : iter =    142 ; delta = 2.000000e+00 ; diff = 1.521925e-04 ; dt =  7343.9 sec ; nmult =    142
   gs : iter =    143 ; delta = 2.000000e+00 ; diff = 1.491038e-04 ; dt =  7395.5 sec ; nmult =    143
   gs : iter =    144 ; delta = 2.000000e+00 ; diff = 1.436261e-04 ; dt =  7446.9 sec ; nmult =    144
   gs : iter =    145 ; delta = 2.000000e+00 ; diff = 1.406508e-04 ; dt =  7498.6 sec ; nmult =    145
   gs : iter =    146 ; delta = 2.000000e+00 ; diff = 1.355711e-04 ; dt =  7550.0 sec ; nmult =    146
   gs : iter =    147 ; delta = 2.000000e+00 ; diff = 1.327071e-04 ; dt =  7601.8 sec ; nmult =    147
   gs : iter =    148 ; delta = 2.000000e+00 ; diff = 1.279933e-04 ; dt =  7653.2 sec ; nmult =    148
   gs : iter =    149 ; delta = 2.000000e+00 ; diff = 1.252416e-04 ; dt =  7704.8 sec ; nmult =    149
   gs : iter =    150 ; delta = 2.000000e+00 ; diff = 1.208635e-04 ; dt =  7756.2 sec ; nmult =    150
   gs : iter =    151 ; delta = 2.000000e+00 ; diff = 1.182263e-04 ; dt =  7807.9 sec ; nmult =    151
   gs : iter =    152 ; delta = 2.000000e+00 ; diff = 1.141554e-04 ; dt =  7859.4 sec ; nmult =    152
   gs : iter =    153 ; delta = 2.000000e+00 ; diff = 1.116257e-04 ; dt =  7911.1 sec ; nmult =    153
   gs : iter =    154 ; delta = 2.000000e+00 ; diff = 1.078393e-04 ; dt =  7962.7 sec ; nmult =    154
   gs : iter =    155 ; delta = 2.000000e+00 ; diff = 1.054179e-04 ; dt =  8014.3 sec ; nmult =    155
   gs : iter =    156 ; delta = 2.000000e+00 ; diff = 1.018901e-04 ; dt =  8065.9 sec ; nmult =    156
   gs : iter =    157 ; delta = 2.000000e+00 ; diff = 9.957423e-05 ; dt =  8117.5 sec ; nmult =    157
   gs : iter =    158 ; delta = 2.000000e+00 ; diff = 9.628547e-05 ; dt =  8169.1 sec ; nmult =    158
   gs : iter =    159 ; delta = 2.000000e+00 ; diff = 9.407218e-05 ; dt =  8220.7 sec ; nmult =    159
   gs : iter =    160 ; delta = 2.000000e+00 ; diff = 9.100832e-05 ; dt =  8272.3 sec ; nmult =    160
   gs : iter =    161 ; delta = 2.000000e+00 ; diff = 8.890009e-05 ; dt =  8323.9 sec ; nmult =    161
   gs : iter =    162 ; delta = 2.000000e+00 ; diff = 8.604656e-05 ; dt =  8375.5 sec ; nmult =    162
   gs : iter =    163 ; delta = 2.000000e+00 ; diff = 8.404600e-05 ; dt =  8426.9 sec ; nmult =    163
   gs : iter =    164 ; delta = 2.000000e+00 ; diff = 8.138977e-05 ; dt =  8478.6 sec ; nmult =    164
   gs : iter =    165 ; delta = 2.000000e+00 ; diff = 7.948449e-05 ; dt =  8530.0 sec ; nmult =    165
   gs : iter =    166 ; delta = 2.000000e+00 ; diff = 7.700775e-05 ; dt =  8581.6 sec ; nmult =    166
   gs : iter =    167 ; delta = 2.000000e+00 ; diff = 7.520153e-05 ; dt =  8633.1 sec ; nmult =    167
   gs : iter =    168 ; delta = 2.000000e+00 ; diff = 7.288895e-05 ; dt =  8684.7 sec ; nmult =    168
   gs : iter =    169 ; delta = 2.000000e+00 ; diff = 7.116829e-05 ; dt =  8736.1 sec ; nmult =    169
   gs : iter =    170 ; delta = 2.000000e+00 ; diff = 6.900269e-05 ; dt =  8787.7 sec ; nmult =    170
   gs : iter =    171 ; delta = 2.000000e+00 ; diff = 6.736390e-05 ; dt =  8839.2 sec ; nmult =    171
   gs : iter =    172 ; delta = 2.000000e+00 ; diff = 6.533687e-05 ; dt =  8890.7 sec ; nmult =    172
   gs : iter =    173 ; delta = 2.000000e+00 ; diff = 6.377544e-05 ; dt =  8942.2 sec ; nmult =    173
   gs : iter =    174 ; delta = 2.000000e+00 ; diff = 6.187448e-05 ; dt =  8993.7 sec ; nmult =    174
   gs : iter =    175 ; delta = 2.000000e+00 ; diff = 6.039123e-05 ; dt =  9045.3 sec ; nmult =    175
   gs : iter =    176 ; delta = 2.000000e+00 ; diff = 5.861176e-05 ; dt =  9097.0 sec ; nmult =    176
   gs : iter =    177 ; delta = 2.000000e+00 ; diff = 5.720579e-05 ; dt =  9148.4 sec ; nmult =    177
   gs : iter =    178 ; delta = 2.000000e+00 ; diff = 5.554066e-05 ; dt =  9199.9 sec ; nmult =    178
   gs : iter =    179 ; delta = 2.000000e+00 ; diff = 5.420374e-05 ; dt =  9251.4 sec ; nmult =    179
   gs : iter =    180 ; delta = 2.000000e+00 ; diff = 5.263930e-05 ; dt =  9303.1 sec ; nmult =    180
   gs : iter =    181 ; delta = 2.000000e+00 ; diff = 5.136814e-05 ; dt =  9354.6 sec ; nmult =    181
   gs : iter =    182 ; delta = 2.000000e+00 ; diff = 4.989747e-05 ; dt =  9406.3 sec ; nmult =    182
   gs : iter =    183 ; delta = 2.000000e+00 ; diff = 4.868842e-05 ; dt =  9457.9 sec ; nmult =    183
   gs : iter =    184 ; delta = 2.000000e+00 ; diff = 4.730690e-05 ; dt =  9509.6 sec ; nmult =    184
   gs : iter =    185 ; delta = 2.000000e+00 ; diff = 4.615663e-05 ; dt =  9561.2 sec ; nmult =    185
   gs : iter =    186 ; delta = 2.000000e+00 ; diff = 4.485593e-05 ; dt =  9612.9 sec ; nmult =    186
   gs : iter =    187 ; delta = 2.000000e+00 ; diff = 4.376380e-05 ; dt =  9664.5 sec ; nmult =    187
   gs : iter =    188 ; delta = 2.000000e+00 ; diff = 4.253954e-05 ; dt =  9716.1 sec ; nmult =    188
   gs : iter =    189 ; delta = 2.000000e+00 ; diff = 4.150064e-05 ; dt =  9767.7 sec ; nmult =    189
   gs : iter =    190 ; delta = 2.000000e+00 ; diff = 4.034885e-05 ; dt =  9819.2 sec ; nmult =    190
   gs : iter =    191 ; delta = 2.000000e+00 ; diff = 3.936199e-05 ; dt =  9870.8 sec ; nmult =    191
   gs : iter =    192 ; delta = 2.000000e+00 ; diff = 3.827639e-05 ; dt =  9922.4 sec ; nmult =    192
   gs : iter =    193 ; delta = 2.000000e+00 ; diff = 3.733914e-05 ; dt =  9974.0 sec ; nmult =    193
   gs : iter =    194 ; delta = 2.000000e+00 ; diff = 3.631591e-05 ; dt = 10025.5 sec ; nmult =    194
   gs : iter =    195 ; delta = 2.000000e+00 ; diff = 3.542539e-05 ; dt = 10077.2 sec ; nmult =    195
   gs : iter =    196 ; delta = 2.000000e+00 ; diff = 3.446147e-05 ; dt = 10128.7 sec ; nmult =    196
   gs : iter =    197 ; delta = 2.000000e+00 ; diff = 3.361531e-05 ; dt = 10180.4 sec ; nmult =    197
   gs : iter =    198 ; delta = 2.000000e+00 ; diff = 3.270640e-05 ; dt = 10231.9 sec ; nmult =    198
   gs : iter =    199 ; delta = 2.000000e+00 ; diff = 3.190470e-05 ; dt = 10283.6 sec ; nmult =    199
   gs : iter =    200 ; delta = 2.000000e+00 ; diff = 3.104741e-05 ; dt = 10335.1 sec ; nmult =    200
   gs : iter =    201 ; delta = 2.000000e+00 ; diff = 3.028511e-05 ; dt = 10386.8 sec ; nmult =    201
   gs : iter =    202 ; delta = 2.000000e+00 ; diff = 2.947646e-05 ; dt = 10438.2 sec ; nmult =    202
   gs : iter =    203 ; delta = 2.000000e+00 ; diff = 2.875260e-05 ; dt = 10489.8 sec ; nmult =    203
   gs : iter =    204 ; delta = 2.000000e+00 ; diff = 2.798851e-05 ; dt = 10541.2 sec ; nmult =    204
   gs : iter =    205 ; delta = 2.000000e+00 ; diff = 2.730130e-05 ; dt = 10593.0 sec ; nmult =    205
   gs : iter =    206 ; delta = 2.000000e+00 ; diff = 2.657919e-05 ; dt = 10644.5 sec ; nmult =    206
   gs : iter =    207 ; delta = 2.000000e+00 ; diff = 2.592631e-05 ; dt = 10696.2 sec ; nmult =    207
   gs : iter =    208 ; delta = 2.000000e+00 ; diff = 2.524473e-05 ; dt = 10747.7 sec ; nmult =    208
   gs : iter =    209 ; delta = 2.000000e+00 ; diff = 2.462436e-05 ; dt = 10799.3 sec ; nmult =    209
   gs : iter =    210 ; delta = 2.000000e+00 ; diff = 2.397954e-05 ; dt = 10850.8 sec ; nmult =    210
   gs : iter =    211 ; delta = 2.000000e+00 ; diff = 2.339131e-05 ; dt = 10902.6 sec ; nmult =    211
   gs : iter =    212 ; delta = 2.000000e+00 ; diff = 2.278158e-05 ; dt = 10954.2 sec ; nmult =    212
   gs : iter =    213 ; delta = 2.000000e+00 ; diff = 2.222212e-05 ; dt = 11005.7 sec ; nmult =    213
   gs : iter =    214 ; delta = 2.000000e+00 ; diff = 2.164584e-05 ; dt = 11057.3 sec ; nmult =    214
   gs : iter =    215 ; delta = 2.000000e+00 ; diff = 2.111464e-05 ; dt = 11108.8 sec ; nmult =    215
   gs : iter =    216 ; delta = 2.000000e+00 ; diff = 2.056897e-05 ; dt = 11160.4 sec ; nmult =    216
   gs : iter =    217 ; delta = 2.000000e+00 ; diff = 2.006470e-05 ; dt = 11211.8 sec ; nmult =    217
   gs : iter =    218 ; delta = 2.000000e+00 ; diff = 1.954815e-05 ; dt = 11263.4 sec ; nmult =    218
   gs : iter =    219 ; delta = 2.000000e+00 ; diff = 1.906913e-05 ; dt = 11315.0 sec ; nmult =    219
   gs : iter =    220 ; delta = 2.000000e+00 ; diff = 1.858073e-05 ; dt = 11366.6 sec ; nmult =    220
   gs : iter =    221 ; delta = 2.000000e+00 ; diff = 1.812537e-05 ; dt = 11418.0 sec ; nmult =    221
   gs : iter =    222 ; delta = 2.000000e+00 ; diff = 1.766250e-05 ; dt = 11469.7 sec ; nmult =    222
   gs : iter =    223 ; delta = 2.000000e+00 ; diff = 1.723082e-05 ; dt = 11521.1 sec ; nmult =    223
   gs : iter =    224 ; delta = 2.000000e+00 ; diff = 1.679240e-05 ; dt = 11572.7 sec ; nmult =    224
   gs : iter =    225 ; delta = 2.000000e+00 ; diff = 1.638167e-05 ; dt = 11624.1 sec ; nmult =    225
   gs : iter =    226 ; delta = 2.000000e+00 ; diff = 1.596670e-05 ; dt = 11675.7 sec ; nmult =    226
   gs : iter =    227 ; delta = 2.000000e+00 ; diff = 1.557670e-05 ; dt = 11727.1 sec ; nmult =    227
   gs : iter =    228 ; delta = 2.000000e+00 ; diff = 1.518317e-05 ; dt = 11778.7 sec ; nmult =    228
